Latitude,Longitude,Library,SaleDetails
33.2442813,-86.8163773,Albert L. Scott Library,Oct 4 - 6
33.6624824,-85.8283224,Public Library of Anniston-Calhoun County,Aug 3; Nov 2
31.1838101,-85.2359981,Ashford Branch Library,Ongoing
34.8045487,-86.9711698,Athens-Limestone Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
33.5206824,-86.8024326,Birmingham Public Library,Bookstore
34.1983281,-86.1649421,Boaz Public Library,Ongoing
33.3401108,-86.6302625,Chelsea Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
30.6035255,-87.9036047,Daphne Public Library,Bookstore
34.6060203,-86.9838165,Wheeler Basin Regional Library,Bookstore
31.2237285,-85.3934375,Dothan Houston County Library,Aug 16 - 25
31.2237285,-85.3934375,Westgate Branch Library,Ongoing
31.3151708,-85.8552161,Enterprise Public Library,Oct
34.79981,-87.677251,Florence-Lauderdale Public Library,Bookstore
30.4065868,-87.6835974,Friends of Foley Library,Bookstore
30.4065868,-87.6835974,Foley Library,Bookstore
34.0128323,-86.0030251,Gadsden Public Library,Bookstore
34.7017558,-86.3758201,Gurley Public Library,Bookstore
33.4737098,-86.8084509,Homewood Public Library,Bookstore
34.729847,-86.5859011,Huntsville-Madison Cty Public Library,Bookstore
34.729847,-86.5859011,Eleanor E. Murphy Public Library,Bookstore
30.6913462,-88.0437509,Mobile Public Library,Ongoing
30.6913462,-88.0437509,Friends' Book Nook,Bookstore
33.6773237,-86.3966481,Odenville Public Library,Ongoing
31.4584764,-85.6405865,Ozark-Dale County Public Library,Ongoing
33.9245425,-86.0224718,Southside Public Library,Bookstore
33.1731716,-86.2516406,B.B.Comer Memorial Library,Bookstore
31.8087678,-85.969951,Troy Public Library,Bookstore
33.2095614,-87.5675258,Tuscaloosa Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
33.4487989,-86.7879492,Vestavia Hills Public Library,Bookstore
