Latitude,Longitude,Library,SaleDetails
41.92871788646951,-87.99362987596497,"SCARCE-LY USED Books &amp; Records","
<img src='img/null.gif' height='1' width='680'><br>
Bookstore<br><ul>
	<li>Shopping 'used' helps you save money while also keeping rare, vintage titles out of landfills.</li>
	<li>Visit <strong><span style='color:#0000FF'>SCARCE-LY USED </span></strong>today to explore our collection!</li>
	<li><strong>Over 10,000 Vinyl records Thousands of book titles - excellent condition</strong></li>
	<li><strong>Vintage Classic sets</strong></li>
	<li><strong>**NEW** children's books</strong></li>
	<li>Well organized. Fully accessible.</li>
	<li><strong>Monday to Friday,&nbsp;9-4:30, Saturday 9-noon</strong></li>
	<li>Credit cards accepted</li>
	<li><strong>**100% of proceeds go to support our Non-profit <a href='http://SCARCE.org' target='_blank'>SCARCE.org</a></strong></li>
</ul>
"
42.16986300824494,-88.29646576113932,"Harnish Main Library","
Ongoing<br><ul><li>Library hours
</li><li>100 books; 98% donated; <b>not 'picked over'</b>; $2+</li></ul>
"
41.66684852312931,-87.73427438661031,"Alsip-Merrionette Park Library","
Ongoing<br>
"
38.89333737879671,-90.18024797250484,"Friends of Hayner Library","
Ongoing<br><ul><li>L;IBRARY CLOSED FOR ROOF REPAIR UNTIL FURTHER NOTICE
</li><li>15,000 books; 75% donated; 50% hardcover; .25-.50</li></ul>
"
37.461514277223145,-89.24666176859539,"Stinson Memorial Library","
Oct<br><br>Watch this spot for the next great sale!
"
42.47849425097158,-88.09346487012738,"Antioch Library Friends","
<img src='img/null.gif' height='1' width='680'><br>
Oct 4 - 6<br><ul><li>Fri, Sat 9-4:30, Sun 1-3
</li><li>1,500 books; 90% donated; 40% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .25-$2</li></ul>
"
41.75251595362452,-88.31718407092343,"Eola Road Branch Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
41.85255463979804,-88.31098654003614,"Batavia Public Library","
July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14<br><ul><li>Sat 9-1
</li><li>10,000 books; 90% donated; 60% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .50-$1</li></ul><br><hr>
Ongoing<br><ul><li>Library hours
</li><li>90% donated</li><li>Stock replenished several times a week.</li></ul>
"
42.257395406390444,-88.84497445901589,"Ida Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
41.850942937927734,-87.7898815948674,"Berwyn Public Library","
Ongoing<br><ul><li>Library hours
</li><li>500 books; 100% donated; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $1</li></ul>
"
39.649192392539184,-88.73366461868741,"Marrowbone Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
41.96190819072723,-88.08407672458102,"Bloomingdale Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
41.658855479619575,-87.67901678424384,"Blue Island Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
