Latitude,Longitude,Library,SaleDetails
40.08855556201606,-85.69899106046418,"Anderson Public Library","
<img src='img/null.gif' height='1' width='680'><br>
July 11; Aug 8; Sept 12; Oct 10; Nov 14; Dec 12<br><ul><li>Thu 10-12:30 and 4:30-6:30
</li><li>25,000 books; 10% donated; 75% hardcover; <b>no buyer restrictions</b>; most .25</li><li>Some vendors come a week before the sale</li></ul>
"
41.344309112788665,-85.06004912786277,"Friends of Eckhart Library","
July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14<br><ul><li>Sat 10-3
</li><li>Preview: Sat 9-10, Friends; join at door
</li><li>3,500 books; 80% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks .50; hardcovers $1</li><li>Books are $2 per bag with the purchase of a Friends bag</li></ul>
"
39.78515435205438,-86.37680006878654,"Avon Library","
<img src='img/null.gif' height='1' width='680'><br>
July 13; July 27; Aug 10; Aug 24; Sept 14; Sept 28; Oct 12; Oct 26; Nov 9; Nov 23; Dec 14; Dec 28<br><ul><li>2nd and 4th Saturdays of each month
</li><li>5,000+ books; 20% donated; 60% hardcover; sorted; <b>no buyer restrictions</b>; paperbacks .50; hardcovers $1</li><li>We sell some online, some upstairs in the library daily (books at a slightly higher price). </li><li>Credit cards accepted</li></ul><br><hr>
Ongoing<br><ul><li>Library hours
</li></ul>
"
39.03676621101679,-86.92015473978164,"Bloomfield-Eastern Greene County Library","
Ongoing<br><ul><li>Library hours: Mon-Thu 10-8, Fri, Sat 10-5
</li><li>Paperbacks .50; hardcovers $1</li><li>Occasionally have sets, movies, puzzles, etc. bargain-basement prices</li></ul>
"
39.152769630298415,-86.5206752623859,"Monroe County Public Library","
Bookstore<br><ul><li>Tue, Thu 11-7, Fri, Sat 11-5, Sun 1-5
</li><li>11,000 books; 75% donated; 50% hardcover; sorted; .25-$3</li><li></li><li>Credit cards accepted</li></ul>
"
39.1905960115422,-86.55457275780776,"No Name Found","
Ongoing<br><ul><li>Every Thursday 9-4
</li><li>1,000 books; 100% donated; 20% hardcover; sorted; <b>no buyer restrictions</b>; .25-$1</li><li>Valuable books and media are reserved for the annual book sale<br>Credit cards accepted</li></ul>
"
39.16300180580682,-86.55414685719352,"at Monroe County Fairgrounds - Commercial Building West","
Oct<br><ul><li>Thu, Fri 9-7, Sat-Tue 9-6
</li><li>50,000 books; 100% donated; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $1-$3</li><li>Credit cards accepted</li></ul>
"
39.5273352802895,-87.1424999356738,"Brazil Public Library","
Ongoing<br><ul><li>Mon-Thu 10-6, Fri, Sat 10-5
</li><li>Paperbacks, magazines, mostly National Geographics</li></ul>
"
40.59572853387047,-86.85314707707059,"Brookston-Prairie Twp Public Library","
Sept 21<br><ul><li>9-3
</li><li>1,000 books; 50% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks .50; hardcovers $1; romances &amp; magazines .10</li><li>Brookston's Apple - Popcorn Festival</li></ul>
"
41.43672460155673,-84.87366032560314,"Butler Carnegie Public Library","
Aug 7 - 13<br><ul><li>Mon-Thu 9-7; Fri, Sat 9-1
</li><li>3,000 books; 60% donated; 35% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $1-$2.50; Mon $5/bag, Tue free</li><li>Credit cards accepted</li></ul>
"
39.793182125571974,-84.99303856915911,"Centerville Center Twp Public Library","
Aug 23 - 24<br><ul><li>Fri 10-5, Sat 10-3
</li><li>4,000 books; 50% donated; 50% hardcover; sorted; <b>no buyer restrictions</b>; and jigsaw puzzles; .50-$1</li><li>Some books have been removed before sale</li><li>Archway Days festival</li></ul>
"
