Latitude,Longitude,Library,SaleDetails
44.289452,-69.250946,Appleton Library,Ongoing
44.3169922,-69.7734278,Lithgow Library,Aug
44.3876378,-68.2043361,Jesup Memorial Library,Aug 17 - 24
43.9133661,-69.8140298,Friends of Patten Free Library,July 6 - 7
44.447507,-69.833221,Friends of Belgrade Public Library,July 6
44.413027,-68.5880555,Blue Hill Library,Ongoing
43.8516523,-69.6280608,Boothbay Harbor Memorial Library,Bookstore
44.0098907,-69.8969355,Friends of Bowdoinham Library,Bookstore
44.0543839,-70.7088701,Bridgton Public Library,July
43.9166529,-69.9659438,No Name Found,Bookstore
44.5718672,-68.7942156,Buck Memorial Library,Ongoing
44.210265,-69.065552,Camden Public Library,July 4 - 7
44.7630602,-69.5596522,Canaan Public Library,Ongoing
46.8606301,-68.0116807,Caribou Public Library,Bookstore
45.0782382,-70.2114804,Carrabassett Valley Public Library,Oct
44.3878303,-68.7966248,Witherle Memorial Library,Ongoing
43.7402793,-70.1076068,Chebeague Island Library,June
43.804801,-70.801392,Bonney Memorial Library,Sept
43.7966548,-70.2581692,Prince Memorial Library,Oct
44.0327531,-69.5315214,Skidompha Library,Bookstore
43.8326505,-70.67150357500103,Brown Memorial Library,Aug 10
44.4479147,-69.6055873,Vassalboro Public Library,Sept 7 - 8
43.857307,-70.10376,Freeport Community Library,Sept 25 - 29
44.2296662,-69.7731429,Gardiner Public Library,Ongoing
43.8042866,-69.7554716,Laura E. Richards Library,July 20 - 21
43.6797334,-70.4429592,Friends of Baxter Memorial Library,Oct
43.8860922,-70.3303592,Gray Public Library,Oct
45.458955,-69.5916835,Shaw Public Library,July
44.2856241,-69.7902799,Hubbard Free Library,July 20
44.8831798,-69.4476611,Hartland Public Library,Ongoing
44.533227,-67.598877,Peabody Memorial Library,June 28 - 29
43.384092,-70.545273,Kennebunk Free Library,July 27; Sept; Dec
43.3614989,-70.4771132,Louis T. Graves Memorial Library,Bookstore
44.3927438,-69.3074579,Liberty Library,Ongoing
45.3622432,-68.504716,Lincoln Memorial Library,July 18
43.4960207,-70.5981446,Community Library,June
44.7143592,-67.4582679,Porter Memorial Library,Aug 16 - 18
44.7143592,-67.4582679,Porter Memorial Library,Aug 17 - 18
44.7977513,-69.8797829,Madison Public Library,Ongoing
45.6565049,-68.7091349,Millinocket Memorial Library,Ongoing
44.500913,-69.987717,Dr. Shaw Memorial Library,Ongoing
43.9632491,-70.2814344,New Gloucester Library,Sept 22
43.3038398,-70.7330239,D.A. Hurd Library,Ongoing
44.2937485,-68.2891112,Northeast Harbor Library,Ongoing
44.214202,-70.545273,Norway Memorial Library,July 11 - 13
43.517684,-70.377731,Libby Library Book Shed,Ongoing
44.883607,-68.672791,Orono Public Library,Sept
43.9069058,-69.5147144,Bristol Area Library,Bookstore
44.4645203,-68.7111393,Penobscot Historical Society,July 13
44.8231128,-70.3395105,Phillips Public Library,Ongoing
43.6573605,-70.2586618,Portland Public Library,June
43.6573605,-70.2586618,Portland Public Library,Bookstore
43.901851,-70.470428,Raymond Village Library,June
44.1048327,-69.1091823,Rockland Public Library,Bookstore
43.5007555,-70.4429451,Dyer Library and Saco Museum,Aug 17 - 31
43.5901655,-70.334505,Scarborough Library,Ongoing
44.3617419,-69.1950411,Searsmont Town Library,July 13
44.4586711,-68.9253126,Carver Memorial Library,Bookstore
43.8915218,-70.6986094,Spaulding Memorial Library,July 20
43.2344819,-70.8089397,South Berwick Public Library,Oct
43.6382443,-70.2529189,South Portland Public Library,Bookstore
44.2797546,-68.3259069,No Name Found,Dec
44.2797546,-68.3259069,Southwest Harbor Public Library,July 12 - 14
43.4652105,-70.7967062,Springvale Public Library,Sept 6 - 7
44.5106339,-67.9652809,Henry D. Moore Library and Community Center,July 11 - 13
43.9673047,-69.2081012,Jackson Memorial Library,July
44.0789631,-69.1831887,Thomaston Public Library,Bookstore
43.943347,-69.93550357876217,Topsham Public Library,Sept
44.2536915,-68.3514062,Bass Harbor Memorial Library,Aug 3 - 4
44.2565542,-70.2561951,Turner Public Library,July 4
44.1816057,-70.7169424,Waterford Library Assn.,July 4
44.3486793,-70.0661649,Cary Memorial Library,June 22 - 29
43.3220487,-70.5807422,Wells Public Library,Ongoing
44.324339,-70.574112,West Paris Public Library,Oct
43.6763036,-70.3663874,held at: Westbrook Community Center,Sept 21
44.5872929,-70.2312381,Wilton Public Library,Aug
44.305178,-69.977417,Bailey Library,July
44.0024834,-69.6647753,Wiscasset Public Library,Bookstore
44.0024834,-69.6647753,No Name Found,June 29
43.8009132,-70.187578,First Parish Congregational Church,July 19 - 21
43.1439384,-70.6505274,York Public Library,Ongoing
