Latitude,Longitude,Library,SaleDetails,MajorSale
41.877409855440895,-84.03245727038167,"Adrian District Library","
<img src='img/null.gif' height='1' width='680'><br>
Sept<br><ul><li>Sat 11-7, Sun 11-5
</li><li>70% donated; <b>not 'picked over'</b>; <b>no buyer restrictions</b></li></ul>
",false
41.920428801727866,-84.0546322062344,"Lenawee District Library","
July 26 - 27; Aug 23 - 24; Sept 27 - 28; Oct 25 - 26; Nov 22 - 23; Dec 27 - 28<br><ul><li>Fri noon-5:30, Sat 9:30-5:30
</li><li>150-300 books; 100% donated; 60% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .10 (magazines)-$1</li></ul>
",false
44.878700376554555,-85.27150117947555,"Alden District Library","
Aug 31; Nov 23<br><ul><li>Sat 9-2
</li><li>1,800 books; 75% donated; 70% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; Donation</li></ul>
",false
42.26456282257867,-83.23402985100758,"Allen Park Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
",false
43.38960485471653,-84.66156362900735,"Alma Public Library","
Sept<br><ul><li>Mon, Fri noon-7, Tue-Thu 9:30-7, Sat 11-4
</li><li><b>not 'picked over'</b>; <b>no buyer restrictions</b></li></ul>
",false
42.302596735548335,-83.73387488719325,"Ann Arbor District Library","
Bookstore<br><ul><li>Tue-Sun noon-6
</li><li>Paperbacks .50; hardcovers $2; children's $2; CDs $2, DVDs $3-$5</li></ul>
",false
42.2935186526329,-83.7533448829488,"Annual Used Book Sale","
Sept 13 - 15<br><br>Watch this spot for more details on the next great sale!
",false
44.049199554282,-83.69409871612355,"Au Gres Community Library","
Ongoing<br><ul><li>Library hours
</li></ul>
",false
42.68915740579561,-83.2430291181474,"Auburn Hills Public Library","
Nov 14 - 16<br><ul><li>Thu 10-7, Fri 10-4:30, Sat 10-4
</li><li>Preview: Wed 5-7, Friends, join at door
</li><li>7,000 books; 60% donated; 70% hardcover; <b>no buyer restrictions</b>; .50-$1; Sat bag day</li><li>Some books scanned</li><li>Credit cards accepted</li></ul><br><hr>
Bookstore<br><ul><li>Library hours
</li></ul>
",false
43.924481954059175,-85.84169430718379,"Pathfinder Community Library","
Ongoing<br><ul><li>Library hours
</li><li>1,000 books; 75% donated; 45% hardcover; sorted; paperbacks .50; hardcovers $1; children's .25; A/V $1</li><li>Reduced prices last week of July. <br>Lake County Trout-a-rama last full weenend of July</li></ul>
",false
42.30209401137577,-85.1824051615487,"at Riverwalk Centre Tower III","
<img src='img/null.gif' height='1' width='680'><br>
July 19; Aug 21; Sept 18; Oct 18; Nov 20<br><ul><li>10-3
</li><li>10,000 books; 100% donated; 60% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .50-$2.50</li></ul>
",false
43.61851025464555,-83.90859528220392,"Friends of Bay County Libraries","
Aug 1 - 3<br><ul><li>Thu 8-8, Fri 10-8, Sat 10-5
</li><li>30,000+ books; <b>no buyer restrictions</b>; .50-$2; Fri half price; Sat half price or $4/box or bag</li></ul>
",false
42.22749529603847,-83.47105535439276,"Belleville Area District Library","
Nov 2<br><ul><li>Sat noon-3, Sun 1-4
</li><li>Preview: Sat 11-noon, Friends; join at door
</li><li>1.000+ books; 100% donated; 50% hardcover; sorted; <b>no buyer restrictions</b>; .50-$1; Sun: $4/bag</li><li>Some books removed to sell online</li><li>Credit cards accepted</li></ul><br><hr>
Ongoing<br><ul><li>Mon-Thu 9:30-9, Fri, Sat 9:30-6, Sun 1-5
</li></ul>
",false
44.618079877260314,-86.10999851301791,"Benzonia Public Library","
Ongoing<br><ul><li>Mon-Fri 10-6, Sat 10-2
</li><li>1,000+ books; 95% donated; 90% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks $1; hardcovers $2; jigsaw puzzles $2</li><li>Cash or check only</li></ul>
",false
42.52184949364006,-83.16710640316059,"Berkley Public Library","
Oct<br><ul><li>Thu 4-8pm, Fri 10-6, Sat 10-3
</li><li>Preview: Thu 3-4, Friends only
</li><li>100% donated; sorted; .50-$1</li><li>No scanners</li><li>Volunteers may buy some books (total about 10-20)</li><li>Charities may come on Saturday at 3pm and take boxes of books for free.</li></ul>
",false
42.52580050063732,-83.17560001112706,"No Name Found","
July<br><ul><li>Fri, Sat noon-7, Sun noon-3
</li><li>1,000+ books; 100% donated; 40% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $1-$20+</li></ul>
",false
41.9513172158095,-86.3374275929331,"Berrien Springs Community Library","
Ongoing<br>
",false
43.68601197761733,-85.5046142697356,"Big Rapids Community Library","
Ongoing<br><ul><li>Fridays at the Farmers Market 8am-2pm
</li></ul>
",false
42.564858768818254,-83.19249297068508,"Baldwin Public Library","
Nov<br><ul><li>Sat 9:30-4:30, Sun noon-4, Mon 10-2
</li><li>Preview: Fri 7-9pm, Friends; join at door
</li><li>'Thousands' of books; 90% donated; 70% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; plus DVDs, CDs, audio books; paperbacks $1; hardcovers $2; children's half price; specials $4; Sun half price, Mon buy bag for $5 and fill</li></ul>
",false
