Latitude,Longitude,Library,SaleDetails
39.16858374177595,-119.75311068848089,"Carson City Library","
<img src='img/null.gif' height='1' width='680'><br>
Bookstore<br><ul><li>Mon-Sat 10-4
</li></ul>
"
36.0332172932718,-114.95510600572938,"Paseo Verde Library","
Aug 22 - 24; Oct 10 - 12<br><ul><li>Fri, Sat 9-5
</li><li>Preview: Thu 5-6:30 $20 donation
</li><li>2,500 books; 100% donated; 30% hardcover; sorted; $5/bag provided</li><li>Higher value books removed to sell online</li><li>Credit cards accepted</li></ul>
"
36.14226052539578,-115.18438869027374,"Whitney Library","
Bookstore<br><ul><li>Library hours
</li><li>200 books; 100% donated; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.130017078822696,-115.11238564502759,"West Las Vegas Library","
Bookstore<br><ul><li>Library hours
</li><li>200 books; 100% donated; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.13339927961774,-115.13635849526467,"West Charleston Library","
Bookstore<br><ul><li>Library hours
</li><li>1,600 books; 100% donated; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.189579330302195,-115.11320853318621,"Summerlin Library","
Bookstore<br><ul><li>Library hours
</li><li>2,000 books; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.16963988189478,-115.1311673297825,"Rainbow Library","
Bookstore<br><ul><li>Library hours
</li><li>1,000 books; 100% donated; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.166665054991576,-115.09919142585014,"Enterprise Library","
Bookstore<br><ul><li>Library hours
</li><li>1,000 books; 100% donated; 80% hardcover; sorted; paperbacks .25; hard bound and large paperback books $1</li></ul>
"
36.21666647554759,-115.12298235060963,"Clark County Library","
<img src='img/null.gif' height='1' width='680'><br>
Bookstore<br><ul><li>Library hours
</li></ul>
"
36.19173806087882,-115.15242911598749,"at Spring Valley Library","
Bookstore<br><ul><li>Library hours
</li><li>100% donated; 80% hardcover; sorted; paperbacks .25; children's .25; $1 hardcover, oversize/quality paperbacks</li></ul>
"
36.210640894765724,-115.17610245249779,"Las Vegas Library","
Bookstore<br><ul><li>Library hours
</li><li>600 books; 100% donated; 80% hardcover; sorted; paperbacks .25; $1 hardcover, oversize/quality paperbacks</li></ul>
"
36.19133689676648,-115.19196565722378,"Sunrise Library","
Bookstore<br><ul><li>Library hours
</li><li>400 books; 100% donated; 80% hardcover; sorted; paperbacks .25; children's .25; $1 hardcover, oversize/quality paperbacks</li></ul>
"
36.13891845237935,-115.10646844220275,"Sahara West Library","
July<br><ul><li>2,500 books; 100% donated; 80% hardcover; sorted; paperbacks .25; $1 hardcover, oversize/quality paperbacks</li></ul><br><hr>
Bookstore<br><ul><li>Library hours
</li><li>Paperbacks .25; children's .25; $1 hardcover, oversize/quality paperbacks</li></ul>
"
36.21648514203966,-115.13926042973013,"Centennial Hills Library","
Bookstore<br><ul><li>Library hours
</li></ul>
"
36.18993607324254,-115.1407939352181,"Windmill Library","
Bookstore<br><ul><li>Library hours
</li></ul>
"
35.151622113353795,-114.53121322846836,"Laughlin Library","
Dec 6 - 8<br><ul><li><b>not 'picked over'</b>; <b>no buyer restrictions</b>; .10-$1</li><li>Credit cards accepted</li></ul><br><hr>
Ongoing<br><ul><li>Library hours
</li></ul>
"
38.969730436555885,-119.74392966330568,"Minden Library","
Aug 17; Nov 16<br><ul><li>Fri 3-5:30, Sat 10-4
</li><li>Preview: Fri noon-3, Friends; join at door
</li><li>8,000 books; 99% donated; 70% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; plus CDs, DVDs,; .25-$2; Sat 3pm half price</li></ul>
"
39.53310051786695,-119.77060688338243,"DeLaMare Library","
Bookstore<br><ul><li>Tue-Fri 10-4; closed Fridays in summer
</li></ul>
"
39.54076063170889,-119.82712686431996,"University of Nevada Library/322","
<img src='img/null.gif' height='1' width='680'><br>
Bookstore<br><ul><li>Fall hours: Mon - Wed (10-2); hours vary by season
</li></ul>
"
39.57370195109462,-119.77889863170236,"Friends of Washoe County Library","
Aug 3 - 11; Oct 5 - 13<br><ul><li>10-4 daily
</li><li>Preview: Fri prior 3-6pm, Friends; join at door
</li><li>5,000 books; 100% donated; 40% hardcover; sorted; <b>no buyer restrictions</b>; .50 and up</li><li>Several books removed to sell online</li><li>Limit of 100 books per day</li></ul>
"
39.03254989897918,-119.9543741843425,"Zephyr Cove Library","
Ongoing<br><ul><li>Library hours
</li><li>200+ books; 100% donated; 80% hardcover; sorted; .25-$2</li><li>Library chooses books to go into collection or to donate to specific nonprofits in the area</li><li>Credit cards accepted (minimum $5)</li></ul>
"
