Latitude,Longitude,Library,SaleDetails
41.10097396810548,-81.53537613860682,"Akron-Summit County Public Library","Bookstore"
41.09835209807356,-81.52129722112575,"Fairlawn-Bath Branch Library","Oct"
40.09432949082347,-82.60195575313237,"Alexandria Public Library","Dec 14"
40.898635044205456,-81.1190017299106,"Rodman Public Library","Aug 3 - 7"
41.420520286512144,-82.24255229647032,"Amherst Public Library","Nov 2"
40.879911064309745,-83.63348743307508,"Upper Arlington Public Library","Aug 11 - 25; Nov 3 - 17"
41.84714749383476,-80.79284075147362,"Ashtabula Library","Oct 4 - 5"
39.35135330058683,-82.0819429367875,"Alden Library","Nov"
39.30912912220886,-82.07661709698057,"Athens Public Library","Ongoing"
41.31706303876286,-81.33424003139373,"Aurora Memorial Library","July 12 - 13; Aug 16 - 17; Sept 13 - 14; Oct 18 - 19; Nov 22 - 23; Dec 20 - 21"
41.502287826682306,-81.90155609683187,"Bay Village Library","Ongoing"
41.4471732550206,-81.52022735475624,"Beachwood Branch Library","Ongoing"
41.37524287161032,-81.53755871465172,"Southeast Branch Library","Ongoing"
39.96318039003106,-82.93027024372427,"Bexley Public Library","Nov"
40.88699859446424,-83.89480594615333,"Bluffton Public Library","Ongoing"
41.01687329124576,-80.67711548119456,"Westminster Presbyterian Church","Oct"
40.40061930949767,-81.17195154930914,"Bowerston Public Library","Ongoing"
41.36548459591158,-83.65847626290305,"Jerome Library","Ongoing"
41.35429175919493,-83.62803963457853,"Wood County District Public Library","Sept 6 - 8"
41.341781673629484,-81.64234862361764,"Brecksville Branch Library","Ongoing"
41.423131983746934,-81.80013239873612,"Brook Park Branch Library","Oct 5"
41.43098833370629,-81.75274285332578,"Brooklyn Branch Library","Ongoing"
41.237154157832585,-81.80743824709742,"The BookShelf","Bookstore"
41.22957855855069,-81.80913036256631,"Brunswick Library","June 29"
41.494509508154096,-81.16246936586184,"Geauga Library book sale","Aug 29 - Sept 2"
39.652463409075445,-84.65194576541082,"Camden Library","Aug"
40.80756827956829,-81.3754814080486,"Stark County District Library","July 6; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14"
39.651211312648286,-84.18324269832786,"Washington-Centerville Public Library","Oct"
41.43604466384625,-81.36133548168107,"Chagrin Falls Branch Library","Aug 1 - 3; Dec 5 - 7"
41.45366446900974,-81.37240196956446,"Bainbridge Library","June 27 - 29"
41.57399240092001,-81.20037194218028,"Chardon Library","Oct 5"
41.537351518348224,-81.35165584118637,"Geauga West Library","Aug 3; Nov 14 - 16"
39.62176632973662,-82.92265121295061,"Pickaway County District Public Library","July 6; July 20; Aug 3; Aug 17; Sept 7; Sept 21; Oct 5"
41.50090063734846,-81.70925174910337,"Michael Schwartz Library","Bookstore"
41.50656811798773,-81.70595849374223,"Cleveland Public Library","Bookstore"
41.50435743094678,-81.57636115524438,"Lee Road Library","July 5; Aug 2; Sept 6; Oct 4; Nov 1"
41.5378738625136,-81.54997177736487,"Friends of Heights Libraries","Dec 5 - 8"
39.98554381135743,-83.01121938775529,"Grandview Heights Public Library","Ongoing"
39.98255171665106,-83.00470050130224,"Westland Area Library","Ongoing"
39.94490902500024,-83.00170208107883,"Columbus Metropolitan Library","Bookstore"
40.28160841348572,-81.86461598392526,"Coshocton Public Library","Aug 1 - 3"
39.77698382006912,-84.1858073730961,"Book Fair Foundation, Inc.","Nov 8 - 11"
39.74408120023452,-84.20291204200069,"Second Hand Book Store","Bookstore"
41.26552631774533,-84.36929930600883,"Defiance Public Library","June"
40.30181749096078,-83.0547541465909,"Delaware Main Library","June 29; July 20"
40.530302072291946,-81.47904906392029,"Dover Public Library","Aug"
39.73510982249187,-84.6143734953021,"Eaton Branch Library","Sept"
41.597911813329034,-81.53339617827267,"Euclid Public Library","Sept 7 - 8"
41.421747943035975,-81.8469171538065,"Fairview Park Regional Library","July 13; Sept 14; Nov 9"
41.02174396655633,-83.63392300934885,"Findlay Hancock Library","Oct"
41.163625187467595,-83.39953272557453,"Kaubisch Memorial Public Library","Sept"
41.33605952401651,-83.11350632576605,"Birchard Library","Oct"
38.81149554358358,-82.22733726535789,"Bossard Memorial Library","Oct"
41.420763901597,-81.61233966057806,"Garfield Heights Branch Library","Ongoing"
41.299831979721866,-81.11250989967786,"Garrettsville Branch Library","Ongoing"
41.26746787928189,-82.06847311589489,"Grafton-Midview Public Library","Nov"
40.12183179975626,-84.65432586215482,"Friends of Greenville Public Library","Ongoing"
41.169086112636656,-80.54782255057486,"Hubbard Public Library","Ongoing"
41.21950786640096,-81.44880590892342,"Hudson Library &amp; Historical Society","Bookstore"
41.395293740328505,-82.54461145352998,"Huron Public Library","June"
41.37476893389737,-81.63199082588834,"Independence Library","Ongoing"
40.17692062555841,-82.69810153061407,"Mary E. Babcock Library","Oct"
41.15904974445303,-81.35755221409323,"Kent Free Library","Oct"
41.86923208396541,-80.66355886612429,"Friends of Kingsville Public Library","Oct 12 - 14"
41.637403382981645,-81.38166545587251,"Kirtland Public Library","Aug 3; Nov 2"
41.24606793137688,-82.14089011100805,"No Name Found","Nov"
41.46993354707613,-81.82000992497487,"Lakewood Public Library","Bookstore"
39.711732343063154,-82.60794266331193,"Fairfield County District Library","Bookstore"
40.720053156047896,-84.10289849411056,"No Name Found","Sept 3 - 7"
39.80673878104416,-82.8205600564436,"Wagnalls Memorial Library","Ongoing"
41.03652817518248,-81.99235848360713,"Lodi Library","Sept 6 - 7; Dec 6 - 7"
41.45473322056582,-82.18045609363232,"Lorain Public Library","Sept"
41.772040183330446,-81.03242465985572,"Madison Public Library","Aug"
40.66651611996468,-81.28295553875695,"Sandy Valley Branch Library","Ongoing"
40.77487621402721,-82.51514420708254,"Friends of Mansfield/Richland County Library","July 5 - 6; Aug 2 - 3; Sept 6 - 7; Oct 4 - 5; Nov 1 - 2; Dec 6 - 7"
41.397653738830954,-81.58765064959499,"Maple Heights Regional Library","Ongoing"
41.52340451752331,-82.75235265263329,"Ex Libris Used Bookstore","Bookstore"
39.40891928140184,-81.43774532302294,"Washington County Public Library Annex","Nov"
39.347324686007006,-84.31669695850853,"Mason Library","Nov"
