Latitude,Longitude,Library,SaleDetails
32.431338784251835,-99.77063254222843,"Friends of Abilene Public Library","June 21 - 23"
26.197171463426113,-98.12424580352945,"Alamo Public Library","Ongoing"
33.09498220004106,-96.68706404091017,"Allen Public Library","Ongoing"
32.71810660509792,-97.1303857855677,"Friends and Foundation of Arlington Public Library","Sept"
30.276175877909726,-97.72800203711212,"Westbank Community Library","Bookstore"
30.25002540477045,-97.7608787929141,"Austin Public Library","Bookstore"
29.702486052486314,-99.05434130948046,"Bandera County Public Library","July 6; Sept 7; Oct 5; Nov 2; Dec 7"
30.095651122357868,-97.29144127122845,"Bastrop Public Library","Bookstore"
32.82019593684746,-97.1326963073404,"Bedford Public Library","Aug 6"
29.70495169131268,-95.47934258312257,"Bellaire Library","Oct"
30.084280025902977,-98.43496502280333,"Blanco Library","Ongoing"
35.667283894591435,-101.37009193717785,"Hutchinson County Library","Oct"
32.73144852998718,-98.91405566244069,"Breckenridge Library","Bookstore"
30.65602710038863,-96.36545719619602,"Clara B. Mounce Public Library","Oct"
29.752144144575535,-98.43325561418024,"Bulverde/Spring Branch Library","Ongoing"
30.51411701529228,-96.72195230650271,"Harrie P Woodson Memorial Library","Ongoing"
29.8561639974333,-98.22783625835051,"Tye Preston Memorial Library","Aug"
32.949912704003296,-96.86839428386754,"H &amp; J Library","Oct"
30.505805902051957,-97.84547959892885,"Cedar Park Public Library","Oct"
32.382067392465736,-97.40507870907635,"Cleburne Public Library","Oct"
32.363155398939995,-97.38693061064112,"The Published Page Bookshop","Bookstore"
33.2410700719594,-95.91848888053117,"Commerce Public Library","Sept"
30.31223183886151,-95.45107204721603,"Central Library Conroe","Oct 3 - 5"
29.970335024797073,-95.7012276438051,"Lone Star College CyFair","Bookstore"
32.75516172292772,-96.81654858089291,"Oak Lawn Library","Ongoing"
32.76697277281629,-96.8194432453756,"Skillman Southwestern Library","Aug 20 - 24"
32.75285369002176,-96.78087891767944,"Lochwood Library","Oct"
32.7819339792756,-96.8043141750705,"The Lakewood Library Friends","Sept 7 - 14"
33.230838559507404,-97.6022705216219,"Decatur Public Library","Sept"
33.205572458834176,-97.12116748366003,"North Branch Library","Aug; Nov"
30.182104650457152,-98.06448399396143,"Friends of Dripping Springs Community Library","Ongoing"
