Latitude,Longitude,Library,SaleDetails
45.3142413775642,-92.36607991791654,"Amery Public Library","
<img src='./Book Sales in Wisconsin_files/null.gif' height='1' width='680'><br>
July 4 - 6; Aug 1 - 3; Sept 5 - 7; Oct 3 - 5; Oct 31 - Nov 2; Dec 5 - 7<br><ul><li>Thu 3-5, closed Fri, then Sat 9:30-noon
</li><li>Donation</li></ul>
"
44.44953676343926,-89.28398212140277,"Lettie W. Jensen Library","
Ongoing<br>
"
44.261787579397144,-88.40553501621896,"<img src='./Book Sales in Wisconsin_files/sendemail.gif' border='0' align='middle'>","
Oct<br><ul><li>Thu, Fri 9-7, Sat 9-5; week 2: Wed-Fri 9-7, Sat 9-5; week 3: Wed-Fri 9-7, Sat 9-noon
</li><li>25,000 books; 100% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; Most prices - Week 1 $1 each; week 2: $1 each, Sat half price; week 3: Wed half price, Thu, Fri $5/bag, Sat free</li></ul>
"
44.54013209762606,-90.03505159063327,"Arpin Public Library","
Ongoing<br>
"
45.06928995856845,-87.12845897625333,"Baileys Harbor Library","
Sept<br><ul><li>Fri 10-4, Sat 10-1
</li><li>100% donated</li><li>Autumn FestIVAL</li></ul>
"
42.50975449922351,-89.02850747737611,"Beloit Public Library","
<img src='./Book Sales in Wisconsin_files/null.gif' height='1' width='680'><br>
Ongoing<br><ul><li>Mon-Thu 9:30-9, Fri, Sat 9:30-5:30
</li><li>1,800 books; 85% donated; 40% hardcover; sorted; <b>no buyer restrictions</b>; .50-$3</li><li>Some books removed to sell online</li></ul>
"
43.13665735981885,-89.74360271436318,"Black Earth Public Library","
Aug 9 - 10<br><ul><li>Fri 10-5, Sat 10-2
</li><li>Preview: Fri 9:30-10, Friends, join at door
</li><li>1,000 books; 60% donated; 55% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $5/bag</li></ul><br><hr>
Ongoing<br><ul><li>Mon-Thu 9:30-7, Fri 9:30-5, Sat 10-2
</li><li>600 books; 25% donated; 55% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .25-$2</li></ul>
"
46.11560688290874,-89.64691712417927,"Boulder Junction Library","
June 4 - Sept 2<br><ul><li>Tue 8-1 (every Tuesday Jun-Aug)
</li><li>Sale canceled if heavy rain</li></ul>
"
43.05869167452508,-88.12163178608115,"Friends of Brookfield Library","
Sept 19 - 21<br><ul><li>Thu 3:30-8pm, Fri 1-6, Sat 8-4
</li><li>2,000+ books; 100% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; $1-$4</li></ul>
"
43.17001655084633,-87.97036053874781,"Brown Deer Public Library","
Aug<br><ul><li>Fri 10-5, Sat 9-2
</li><li>Preview: Thu 5-6:30pm, $5 fee (Friends free) (or join at door $6)
</li><li>5,000 books; 50% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks .50; hardcovers $1; children's .50; books published last year or this year $2</li></ul>
"
42.67411258304759,-88.27876910060218,"Burlington Public Library","
July 18 - 20<br><ul><li>Thu 2-7, Fri 9-5, Sat 9-3
</li><li>Preview: Thu noon-2, $5 fee
</li><li>10,000 books; 50% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .50-$1; Sat half price, Sat noon: bag sale</li></ul>
"
43.00496042972473,-89.0225121854194,"Friends of the Cambridge Community Library","
Aug 2 - 3<br><ul><li>Fri, Sat 9-3
</li><li>8,000 books; 90% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks .50; hardcovers $1; $10/bag</li></ul>
"
43.59758851205666,-88.2893837566691,"Campbellsport Public Library","
Aug 12 - 22<br><ul><li>Mon-Fri 9-6
</li><li>5,000 books; 80% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; and puzzles; .50-$1</li></ul>
"
44.91006179698687,-90.31082825447102,"Friends of Colby Community Library","
July 18 - 19<br><ul><li>Thu 7-7, Fri 7-5
</li><li>10,000 books; 80% donated; <b>not 'picked over'</b>; most .25</li></ul>
"
43.335366098367274,-89.01436956993447,"Columbus Public Library","
Ongoing<br>
"
43.10820911479412,-89.64186852622386,"Rosemary Garfoot Public Library","
<img src='./Book Sales in Wisconsin_files/null.gif' height='1' width='680'><br>
Sept<br><ul><li>Fri 8-6, Sat 8-2
</li><li>1,000 books; 80% donated; 30% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; plus CDs, DVDs, puzzles; donation</li></ul>
"
42.95927943587151,-87.86030469417709,"Cudahy Family Library","
Bookstore<br><ul><li>Library hours
</li><li>60% donated; most under $2</li><li>Stock refreshed weekly</li></ul>
"
43.05234010036987,-89.0713046224285,"Deerfield Public Library","
Ongoing<br><ul><li>Library hours
</li></ul>
"
43.057329429040315,-88.40085379737388,"Delafield Public Library","
July 6; July 13; July 20; July 27; July 27; Aug 3; Aug 10; Aug 17; Aug 24; Aug 31; Sept 7; Sept 21; Oct 5; Oct 19; Nov 2; Nov 16; Dec 7; Dec 21<br><ul><li>9 am - 1 pm
</li><li>Paperbacks $1; hardcovers $2; CDs $1, DVDs $2</li><li>Outdoor sale - no sun no sale</li><li>Masks are required (hand sanitizers and masks available)</li><li>Only 5 customers at a time.</li></ul>
"
42.62809967746397,-88.64310890897137,"Aram Public Library","
Aug 10<br><ul><li>Sat 8-4
</li><li>12,500 books; 75% donated; 50% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; .50-$2</li></ul><br><hr>
Ongoing<br><ul><li>Library hours
</li><li>Adult fict &amp; non-fict.</li></ul>
"
45.83448319045102,-89.13518471383122,"Olson Memorial Library","
July 11 - 13; Oct<br><ul><li>Thu, Fri 9-5, Sat 9-3
</li><li>Sorted; <b>no buyer restrictions</b>; paperbacks .25; hardcovers $1; A/V .50-$1; Sat $4/bag sale</li><li>Minimal purchases by set-up volunteers</li></ul><br><hr>
Ongoing<br><ul><li>Mon 9-7, Tue-Thu 9-6, Fri 9-5, Sat 9-3
</li><li>Sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b></li></ul>
"
44.80877475699205,-91.49682830370092,"at Eau Claire Expo Center","
Oct<br><ul><li>Fri 3-8, Sat 9-5, Sun 10-3
</li><li>8,000 books; 100% donated; 40% hardcover; sorted; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; paperbacks $2; hardcovers $4; children's .50; $2-$4</li></ul>
"
43.83266330351278,-88.01403651255725,"Friends of Elkhart Lake Public Library","
July 26 - 27<br><ul><li>Fri noon-3, Sat 9-3
</li><li>80% donated; <b>not 'picked over'</b>; <b>no buyer restrictions</b>; Donation</li></ul>
"
42.67668602407705,-88.5408469662521,"<img src='./Book Sales in Wisconsin_files/sendemail.gif' border='0' align='middle'>","
Aug 28 - Sept 2<br><ul><li>Wed-Mon 10-6
</li><li>'Thousands' of books; 100% donated; 75% hardcover; sorted; <b>not 'picked over'</b>; paperbacks .50; hardcovers $1+; .50-$1; Mon: $5/bag</li><li>Held on the Walworth County Fair Grounds during the Fair.  Admission is required to the fair to attend the sale.</li></ul>
"
