City,Library,SaleDetails
"Bella Vista, AR",Bella Vista Public Library,Ongoing
"Bentonville, AR",Bentonville Public Library,Oct 4 - 5
"El Dorado, AR",Barton Library,Oct
"Fairfield Bay, AR",Fairfield Bay Library,Ongoing
"Fort Smith, AR",Fort Smith Public Library,Aug 31
"Fort Smith, AR",Boreham Library,Ongoing
"Harrison, AR",Boone County Library,Oct
"Heber Springs, AR",Friends of the Library Book Store,Bookstore
"Heber Springs, AR",Friends Book Store,Bookstore
"Hot Springs, AR",Garland County Library,Sept 21
"Jonesboro, AR",Craighead County Jonesboro Public Library,Bookstore
"Mountain Home, AR",Baxter County Library,Aug 15 - 17; Nov 21 - 23
"Mountain View, AR",Stone County Library,Aug 3
"Nashville, AR",Howard County Literacy Council,Bookstore
"Osceola, AR",Osceola Public Library,Ongoing
"Siloam Springs, AR",Siloam Springs Public Library,Bookstore
"Springdale, AR",Springdale Public Library,Bookstore
"Golden, CO",Jefferson County Library Foundation,Oct
"Newtown, CT",Friends of the C.H. Booth Library,July 12 - 16
"Redding, CT",The Mark Twain Library,Aug 30 - Sept 2
"Gainesville, FL",Friends of the Library - Alachua County Library District,Oct 26 - 30
"Lexington, KY",Lexington Central Library,Oct
"Kenner, LA",Friends of Jefferson Public Library,Oct 25 - 27
"Detroit, MI",Festival of Books!,July 21
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Athens, TN",McMinn County Friends of the Library,June 20 - 23
"Knoxville, TN",Friends of Knox County Public Library,Sept 19 - 21
"Dallas, TX",Skillman Southwestern Library,Aug 20 - 24
"Dallas, TX",The Lakewood Library Friends,Sept 7 - 14
"Temple, TX",Friends of Temple Public Library,Aug 27 - 31
