City,Library,SaleDetails
"Apache Junction, AZ",Apache Junction Public Library,Bookstore
"Bagdad, AZ",Bagdad Public Library,Ongoing
"Benson, AZ",Friends of Benson Library Book Store,Nov
"Buckeye, AZ",Buckeye Public Library,Ongoing
"Buckeye, AZ",Coyote Branch Library,Dec
"Bullhead City, AZ",Bullhead City Branch Library,Ongoing
"Camp Verde, AZ",Camp Verde Community Library,Ongoing
"Casa Grande, AZ",Casa Grande Public Library,Ongoing
"Cave Creek, AZ",Desert Foothills Library,July 12 - 13; Aug 9 - 10; Sept 13 - 14; Oct 11 - 12; Nov 9 - 11; Dec 13 - 14
"Chandler, AZ",Chandler Library,Bookstore
"Chandler, AZ",Sunset Library,Ongoing
"Chino Valley, AZ",Chino Valley Public Library,Ongoing
"Clarkdale, AZ",Clark Memorial Library,Bookstore
"Cottonwood, AZ",Cottonwood Public Library,Bookstore
"Flagstaff, AZ",Flagstaff Public Library,Ongoing
"Gilbert, AZ",Southeast Regional Library,Bookstore
"Glendale, AZ",No Name Found,Bookstore
"Glendale, AZ",Foothills Branch Library,Oct
"Glendale, AZ",Velma Teague Branch Library,Ongoing
"Glendale, AZ",Glendale Public Library,Ongoing
"Holbrook, AZ",Holbrook Public Library,Ongoing
"Mesa, AZ",Mesa Public Library,Bookstore
"Mesa, AZ",The Corner Bookstore,Bookstore
"Mesa, AZ",Red Mountain Library,Ongoing
"Mesa, AZ",No Name Found,Oct 11 - 13
"Oro Valley, AZ",Oro Valley Public Library,Oct
"Oro Valley, AZ",Oro Valley Public Library,Bookstore
"Parker, AZ",Parker Public Library,Oct 11 - 12; Nov 8 - 9
"Peoria, AZ",Peoria Public Library,Ongoing
"Peoria, AZ",Sunrise Mountain Library,Ongoing
"Phoenix, AZ",VNSA Used Book Sale,"Feb 15 - 16,  2025"
"Phoenix, AZ",Phoenix Public Library,Ongoing
"Phoenix, AZ",North Central Regional Library,Bookstore
"Phoenix, AZ",Acacia Branch Library,Ongoing
"Phoenix, AZ",Mesquite Branch Library,Ongoing
"Phoenix, AZ",Yucca Branch Library,Ongoing
"Phoenix, AZ",Burton Barr Central Library,Bookstore
"Phoenix, AZ",Harmon Branch Library,Ongoing
"Phoenix, AZ",Ocotillo Branch Library,Ongoing
"Phoenix, AZ",Century Branch Library,Ongoing
"Phoenix, AZ",Ironwood Branch Library,Ongoing
"Phoenix, AZ",Palo Verde Branch Library,Ongoing
"Phoenix, AZ",Cholla Branch Library,Ongoing
"Phoenix, AZ",Juniper Branch Library,Ongoing
"Phoenix, AZ",Saguaro Branch Library,Ongoing
"Pine, AZ",Isabelle Hunt Memorial Public Library,July 5 - 7; Aug 30 - Sept 1
"Pinetop-Lakeside, AZ",Pinetop-Lakeside Library,Ongoing
"Prescott, AZ",Prescott Public Library,Ongoing
"Prescott Valley, AZ",Prescott Valley Public Library,Ongoing
"Queen Creek, AZ",No Name Found,Bookstore
"San Tan Valley, AZ",San Tan Valley Public Library,July 20; Oct 12
"Scottsdale, AZ",Civic Center Library,Bookstore
"Sedona, AZ",Friends of Sedona Library Used Book Store,Bookstore
"Sierra Vista, AZ",Last Chance Bookstore,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Sierra Vista, AZ",The Little Library Bookstore,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Sierra Vista, AZ",Last Chance Bookstore,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Sun City, AZ",Bell Branch Library,Bookstore
"Sun City, AZ",Sun Health Boswell Thrift Shop,Bookstore
"Sun City West, AZ",Friends of R. H. Johnson Library,Aug 17; Nov 16
"Surprise, AZ",Surprise Regional Library,Bookstore
"Tempe, AZ",Tempe Public Library,Bookstore
"Tucson, AZ",No Name Found,Oct
"Tucson, AZ",Book and Thrift Store,Bookstore
"Tucson, AZ",Center for Middle Eastern Studies,Sept
"Tucson, AZ",Brandeis Book Depot,Bookstore
"Wellton, AZ",Wellton Branch Library,Ongoing
"Yarnell, AZ",Yarnell Public Library,Ongoing
"Yuma, AZ",Foothills Branch Library,Ongoing
"Yuma, AZ",Wellton Branch Library,Ongoing
"Albany, CA",Friends of Albany Library,Nov
"Palo Alto, CA",Friends of the Palo Alto Library,July 13 - 14
"Santa Rosa, CA",Friends of Santa Rosa Libraries,Oct 4 - 7
"Sacramento, CA",Friends of the Sacramento Public Library,Aug 17
"Castle Rock, CO",Rocky Mountain Book &amp; Paper Fair,Aug 17 - 18
"Centennial, CO",Friends of Arapahoe Libraries,Sept 12 - 15; Dec 7 - 8
"Golden, CO",Jefferson County Library Foundation,Oct
"Loveland, CO",Friends of Loveland Public Library,Oct 18 - 20
"Newtown, CT",Friends of the C.H. Booth Library,July 12 - 16
"Redding, CT",The Mark Twain Library,Aug 30 - Sept 2
"Gainesville, FL",Friends of the Library - Alachua County Library District,Oct 26 - 30
"Lexington, KY",Lexington Central Library,Oct
"Detroit, MI",Festival of Books!,July 21
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
