City,Library,SaleDetails
"Alameda, CA",Alameda Free Library,Oct 23 - 26
"Albany, CA",Friends of Albany Library,Nov
"American Canyon, CA",American Canyon Library,Aug 22 - 24
"Antioch, CA",Antioch Library,June 29
"Aromas, CA",Aromas Branch Library,Ongoing
"Atherton, CA",Atherton Library,Ongoing
"Belmont, CA",Friends of Belmont Library,Bookstore
"Belmont, CA",Belmont Public Library,Bookstore
"Benicia, CA",Benicia Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Burlingame, CA",Burlingame Public Library,Oct 17 - 20
"Calistoga, CA",Calistoga Library,Ongoing
"Campbell, CA",Campbell Express Library,Ongoing
"Capitola, CA",Capitola Branch Library Book Store,Ongoing
"Castro Valley, CA",Castro Valley Library,Aug; Dec
"Clayton, CA",Clayton Community Library,Oct
"Concord, CA",Concord Library,Ongoing
"Corte Madera, CA",Area at Book Passage,Ongoing
"Crockett, CA",Crockett Library,Ongoing
"Cupertino, CA",Friends of the Cupertino Library,Oct 5 - 6
"Cupertino, CA",Cupertino Library Friends Book Store,Bookstore
"Danville, CA",Danville Library,June 29; July 27; Aug 31; Sept 28; Oct 26; Dec 14
"Dixon, CA",Friends of Dixon Public Library,Bookstore
"Dublin, CA",Dublin Library,Sept 14 - 15
"El Sobrante, CA",El Sobrante Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Fairfield, CA",Fairfield-Suisun Community Library,Bookstore
"Fremont, CA",Fremont Library,Sept 13 - 15
"Gilroy, CA",Gilroy Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Guerneville, CA",Guerneville Regional Library,Aug
"Half Moon Bay, CA",Half Moon Bay Library,July 20; Aug 17; Sept 21; Oct 19; Nov 16; Dec 21
"Hayward, CA",Hayward Public Library,July 6; July 20; Aug 3; Aug 17; Sept 7; Sept 21; Oct 5; Oct 19; Nov 2; Nov 16; Dec 7; Dec 21
"Hercules, CA",Hercules Library,Oct
"Hollister, CA",San Benito County Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Kensington, CA",Kensington Public Library,Oct 20
"Lafayette, CA",Friends Corner Book Shop,Bookstore
"Larkspur, CA",Larkspur Library,Ongoing
"Lodi, CA",Lodi Public Library,Ongoing
"Los Altos, CA",Los Altos Library,Ongoing
"Los Altos, CA",Friends of the Los Altos Library,Aug 2 - 4
"Los Gatos, CA",Friends of Los Gatos Library,Bookstore
"Los Gatos, CA",Friends of Los Gatos Library Book Store,Bookstore
"Marina, CA",Marina Library,June; Dec
"Martinez, CA",Martinez Library,Aug 10; Nov 2
"Martinez, CA",Martinez Hospice Thrift Shoppe,Bookstore
"Menlo Park, CA",Menlo Park Public Library,July 26 - 27
"Millbrae, CA",Millbrae Library,Ongoing
"Milpitas, CA",Milpitas Public Library,Sept 13 - 15; Dec 6 - 8
"Moraga, CA",Moraga Library,Oct
"Morgan Hill, CA",Morgan Hill Library,Oct 5
"Mountain View, CA",Mountain View Public Library,Aug; Nov
"Napa, CA",Napa Library,Aug 17 - 25; Dec 7 - 15
"Newark, CA",Newark Library,Ongoing
"Novato, CA",The Book Place,Bookstore
"Oakland, CA",Friends of Oakland Public Library,Oct
"Oakley, CA",Oakley Library,Bookstore
"Orinda, CA",Orinda Public Library,Sept 5; Oct 3; Nov 7; Dec 5
"Pacific Grove, CA",Pacific Grove Public Library,Ongoing
"Pacifica, CA",Sharp Park Library,Dec
"Palo Alto, CA",Friends of the Palo Alto Library,July 13 - 14
"Petaluma, CA",Petaluma Regional Library,Bookstore
"Pinole, CA",Pinole Library,Ongoing
"Pittsburg, CA",Pittsburg Library,Bookstore
"Pleasant Hill, CA",Pleasant Hill Library Book Store,Bookstore
"Pleasanton, CA",Friends of Pleasanton Library,Sept 12 - 15
"Redwood City, CA",Encore Books on the Square,Bookstore
"Redwood City, CA",Friends Bookstore,Bookstore
"Rohnert Park, CA",Rohnert Park Library,Bookstore
"Salinas, CA",John Steinbeck Library,Ongoing
"San Anselmo, CA",Friends of San Anselmo Library,Oct
"San Carlos, CA",San Carlos Public Library,July 21; Aug 18; Sept 15; Oct 20; Nov 17; Dec 15
"San Francisco, CA",at Book Passage,Bookstore
"San Francisco, CA",Patrick J. Dowling Library,Ongoing
"San Francisco, CA",Friends of the San Francisco Public Library,July 12 - 13; Aug 2 - 3; Sept 6 - 7
"San Francisco (Larkin St), CA",San Francisco Public Library,Ongoing
"San Francisco (SF State), CA",J. Paul Leonard Library,Bookstore
"San Jose, CA",West Valley Branch Library,July 13 - 14; Sept 21 - 22; Nov 23 - 24
"San Jose, CA",Santa Teresa Library,Sept
"San Jose, CA",Evergreen Branch Library,July; Oct
"San Jose, CA",Vineland Branch Library,Oct 26
"San Jose, CA",Cambrian Branch Library,Oct
"San Jose, CA",Pearl Avenue Library,July 20
"San Jose, CA",Bascom Branch Library,Ongoing
"San Jose (Almaden), CA",Almaden Branch Library,Nov 2
"San Jose (Edenvale), CA",Edenvale Library,Ongoing
"San Jose (Rose Garden), CA",Rose Garden Branch Library,Ongoing
"San Jose (Willow Glen), CA",Willow Glen Branch Library,July; Oct
"San Leandro, CA",San Leandro Public Library,Bookstore
"San Lorenzo, CA",San Lorenzo Library,Ongoing
"San Mateo, CA",The Thrift Shop,Bookstore
"San Pablo, CA",San Pablo Library,Ongoing
"San Rafael, CA",Friends Books,Bookstore
"San Ramon, CA",San Ramon Library,Bookstore
"Santa Clara, CA",Santa Clara City Library,July 20; Aug 17; Sept 21; Oct 19; Nov 16
"Santa Clara, CA",Northside Library,Ongoing
"Santa Cruz, CA",Santa Cruz Central Branch Library,Bookstore
"Santa Rosa, CA",Santa Rosa Central Library,July 19 - 21
"Santa Rosa, CA",Northwest Santa Rosa Library,Ongoing
"Santa Rosa, CA",Rincon Valley Library,Ongoing
"Santa Rosa, CA",Friends of Santa Rosa Libraries,Oct 4 - 7
"Saratoga, CA",Book-Go-Round book store,Bookstore
"Saratoga, CA",Saratoga Library,July 27 - 28; Oct 19 - 20
"Sausalito, CA",Sausalito Library,Bookstore
"Sebastopol, CA",Sebastopol Regional Library,Sept 18 - 21
"South San Francisco, CA",South San Francisco Public Library,Ongoing
"Sunnyvale, CA",Friends of Sunnyvale Public Library,July 20 - 21; Sept 21 - 22; Nov 16 - 17
"Sunnyvale, CA",Sunnyvale Library,Ongoing
"Tracy, CA",Tracy Library,Ongoing
"Vacaville, CA",Solano County Library,July 26 - 28; Oct
"Vallejo, CA",JFK Library,Ongoing
"Walnut Creek, CA",Ygnacio Valley Library,Sept 28
"Walnut Creek, CA",Walnut Creek Library,Aug 9; Dec 6
"Walnut Creek, CA",No Name Found,Oct
"Windsor, CA",Windsor Library,Ongoing
"Woodside, CA",Woodside Library,Ongoing
"Yountville, CA",Yountville Library,Ongoing
"Sacramento, CA",Friends of the Sacramento Public Library,Aug 17
"Golden, CO",Jefferson County Library Foundation,Oct
"Newtown, CT",Friends of the C.H. Booth Library,July 12 - 16
"Redding, CT",The Mark Twain Library,Aug 30 - Sept 2
"Gainesville, FL",Friends of the Library - Alachua County Library District,Oct 26 - 30
"Lexington, KY",Lexington Central Library,Oct
"Detroit, MI",Festival of Books!,July 21
"Philomath, OR",Philomath Lions Club,July 25 - 27
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
