City,Library,SaleDetails
"Alturas, CA",behind Modoc Co. Main Library,Bookstore
"Anderson, CA",Anderson Branch Library,Ongoing
"Angels Camp, CA",Angels Camp Branch Library,Ongoing
"Auburn, CA",No Name Found,Ongoing
"Brentwood, CA",Brentwood Library,Bookstore
"Brentwood, CA",Brentwood Kaufman Library,Bookstore
"Burney, CA",Friends Main Street Books,Ongoing
"Cameron Park, CA",Cameron Park Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Chico, CA",Chico Branch Library,Ongoing
"Citrus Heights, CA",Sylvan Oaks Library,Sept 7; Dec 7
"Cloverdale, CA",Cloverdale Library,Ongoing
"Coleville, CA",Mono County Branch Library,Ongoing
"Colusa, CA",The Bookworm,Bookstore
"Corning, CA",Corning Library,Oct
"Cottonwood, CA",Cottonwood Community Library,Ongoing
"Crescent City, CA",Crescent City Library,Ongoing
"Davis, CA",Davis Public Library,July 5 - 7; Aug 2 - 4; Sept 6 - 8; Oct 4 - 6; Nov 1 - 3; Dec 6 - 8
"Davis, CA",Friends of Davis Public Library,Bookstore
"Dorris, CA",Dorris Branch Library,Ongoing
"Dunsmuir, CA",Dunsmuir Branch Library,Ongoing
"El Dorado Hills, CA",El Dorado Hills Library,July 20; Sept 7; Oct 13; Nov 16
"Elk Grove, CA",Franklin Library,Ongoing
"Escalon, CA",Escalon Library,Ongoing
"Eureka, CA",Humboldt County Library,Bookstore
"Fair Oaks, CA",Fair Oaks Library,Ongoing
"Folsom, CA",Folsom Library,Sept
"Folsom, CA",Friends of Folsom Library,Oct 19 - 20
"Fort Bragg, CA",Fort Bragg Library,Aug 31 - Sept 1
"Grass Valley, CA",Animalsave Thrift and Treasures,Ongoing
"Grass Valley, CA",Grass Valley Library,Ongoing
"Happy Camp, CA",Happy Camp Branch Library,Ongoing
"Isleton, CA",Isleton Neighborhood Library,Ongoing
"June Lake, CA",Mono County Library,July
"Lee Vining, CA",Mono County Branch Library,Ongoing
"Lincoln, CA",Twelve Bridges Library,Nov
"Loomis, CA",Loomis Library &amp; Community Center,Oct
"Los Molinos, CA",Los Molinos Branch Library,Ongoing
"Loyalton, CA",Loyalton Station Library,Ongoing
"Madera, CA",Madera Public Library,Ongoing
