City,Library,SaleDetails
"Acton, CA",Acton-Agua Dulce Library,Sept 27 - 28
"Agoura Hills, CA",Agoura Hills Library,Bookstore
"Aliso Viejo, CA",Aliso Viejo Library,Bookstore
"Altadena, CA",Altadena Library,Bookstore
"Anaheim, CA",Anaheim Public Library,July 19; Aug 16; Sept 20; Oct 18; Nov 15; Dec 20
"Apple Valley, CA",Apple Valley Branch Library,Ongoing
"Arcadia, CA",Arcadia Public Library,Bookstore
"Arcadia, CA",Live Oak Library,Ongoing
"Atascadero, CA",Atascadero Library,Ongoing
"Bakersfield, CA",Southwest Branch Library,Oct
"Bakersfield, CA",Beale Memorial Library,Aug 9 - 10; Oct
"Barstow, CA",Barstow Branch Library,Ongoing
"Bell Gardens, CA",Bell Gardens Library,Ongoing
"Bellflower, CA",Clifton M. Brakensiek Library,Ongoing
"Benton, CA",Mono County Branch Library,Ongoing
"Beverly Hills, CA",Friends Bookstore,Bookstore
"Big Bear Lake, CA",Big Bear Valley Library,Bookstore
"Bloomington, CA",Bloomington Branch Library,Ongoing
"Blue Jay, CA",Lake Arrowhead Library,Ongoing
"Bonita, CA",Bonita-Sunnyside Library,June 24 - 29; July 29 - 31; Aug 26 - 31; Sept 30; Oct 28 - 31; Nov 25 - 27; Dec 30
"Buellton, CA",Buellton Library,Ongoing
"Buena Park, CA",Buena Park Library Book Store,Bookstore
"Burbank, CA",Burbank Central Public Library,Ongoing
"Burbank, CA",Buena Vista Branch Library,Bookstore
"Cabazon, CA",Cabazon Community Library,July 20; Aug 17; Sept 21; Oct 19; Nov 16; Dec 21
"Camarillo, CA",Friends of Camarillo Library Book Store,Bookstore
"Canyon Lake, CA",Canyon Lake Library,Ongoing
"Cardiff-by-the-Sea, CA",Cardiff-by-the-Sea Library,Bookstore
"Carlsbad, CA",Carlsbad City Library,Bookstore
"Carlsbad, CA",Georgina Cole City Library,Ongoing
"Carpinteria, CA",Friends Used Book Store,Bookstore
"Carson, CA",Carson Library,Ongoing
"Cayucos, CA",Cayucos Library,July 6
"Cerritos, CA",Cerritos Public Library,July; Oct
"Chatsworth, CA",Chatsworth Branch Library,July 20; Oct 19
"Chino Hills, CA",Chino Hills Branch Library,Aug
"Chula Vista, CA",Chula Vista Library,Bookstore
"Claremont, CA",Claremont Public Library,Ongoing
"Colton, CA",Colton Public Library,Ongoing
"Corona, CA",Corona Public Library,Bookstore
"Coronado, CA",Coronado Public Library,Nov
"Costa Mesa, CA",Mesa Verde Library Bookstore,Bookstore
"Costa Mesa, CA",Orange Coast College,Bookstore
"Costa Mesa, CA",Donald Dungan Library,Bookstore
"Crestline, CA",Crestline Library,Dec 7
"Culver City, CA",Culver City Library,Ongoing
"Cypress, CA",Cypress Library,Ongoing
"Dana Point, CA",Friends Library Bookstore,Bookstore
"Del Mar, CA",Del Mar Library,Ongoing
"Descanso, CA",Friends of the Library Bookstore,Ongoing
"Diamond Bar, CA",Friends of Diamond Bar Library,Bookstore
"Downey, CA",Downey City Library,Bookstore
"Duarte, CA",Duarte Library,Ongoing
