City,Library,SaleDetails
"Andover, CT",Andover Public Library,Ongoing
"Ansonia, CT",Friends of Ansonia Library,Bookstore
"Ashford, CT",Babcock Library,Oct
"Avon, CT",Avon Free Public Library,Oct
"Berlin, CT",Friends of Berlin-Peck Memorial Library,Bookstore
"Bethany, CT",Clark Memorial Library,Bookstore
"Bethel, CT",Bethel Public Library,Bookstore
"Bolton, CT",Bentley Memorial Library,Ongoing
"Branford, CT",Friends of the James Blackstone Library,Sept 19 - 22
"Bridgeport, CT",Burroghs-Saden Main Library,Bookstore
"Bristol, CT",Manross Library,June 7 - 21
"Bristol, CT",Bristol Public Library,June 7 - 21
"Brookfield, CT",Brookfield Library,Ongoing
"Brookfield, CT",Friends of Brookfield Library,Ongoing
"Burlington, CT",Burlington Public Library,Ongoing
"Canton, CT",Canton Public Library,June 17 - July 15
"Cheshire, CT",Cheshire Public Library,Nov 6 - 10
"Chester, CT",Friends of Chester Public Library,Aug
"Clinton, CT",Henry Carter Hull Library,Ongoing
"Colchester, CT",Cragin Memorial Library,Oct 4 - 6
"Cornwall, CT",Cornwall Woman's Society,July 20 - 22
"Coventry, CT",No Name Found,Nov
"Danbury, CT",Danbury Library,Ongoing
"Deep River, CT",Deep River Library,Ongoing
"Derby, CT",Derby Neck Library,Aug
"East Granby, CT",East Granby Public Library,Ongoing
"East Woodstock, CT",May Memorial Library,June 29
"East Woodstock, CT",No Name Found,July 4
"Ellington, CT",Hall Library,Bookstore
"Enfield, CT",Friends of the Enfield Library,Oct
"Essex, CT",Essex Library,Oct
"Falls Village, CT",David M. Hunt Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Farmington, CT",Farmington Public Library,June 21 - 22
"Glastonbury, CT",Welles-Turner Memorial Library,Sept 7 - 8
"Goshen, CT",Goshen Public Library,Aug 31 - Sept 2
"Groton, CT",Charity Book-Shop,Bookstore
"Guilford, CT",Guilford Free Library,Sept 27 - 29
"Guilford, CT",North Guilford Congregational Church,Aug 17
"Haddam, CT",Brainerd Memorial Library,Ongoing
"Hamden, CT",Hamden Public Library,Bookstore
"Hampton, CT",Fletcher Memorial Library,Oct
"Harwinton, CT",Harwinton Public Library,July 20; Aug 17; Sept 21
"Hebron, CT",Douglas Library,Sept 21; Nov 16
"Lebanon, CT",Jonathan Trumbull Library,Sept 27 - 29
"Ledyard, CT",Bill Library,Aug 30 - Sept 6
"Ledyard, CT",Gales Ferry Library,Ongoing
"Litchfield, CT",No Name Found,Bookstore
"Lyme, CT",Lyme Public Library,Sept 13 - 14
"Manchester, CT",Whiton Memorial Library,Bookstore
"Mansfield Center, CT",Mansfield Library,Sept
"Meriden, CT",Meriden Public Library,Bookstore
"Middle Haddam, CT",Middle Haddam Public Library,Ongoing
"Middletown, CT",Russell Library,Sept; Dec
"Middletown, CT",Godfrey Memorial Library,Ongoing
"Milford, CT",Milford Public Library,Ongoing
"Monroe, CT",Edith Wheeler Memorial Library,Bookstore
"Mystic, CT",Mystic &amp; Noank Library,Dec 2 - 7
"Mystic, CT",Gift Shop,June 28 - 29
"Naugatuck, CT",Whittemore Library,Sept
"Naugatuck, CT",Friends of Whittemore Library,Sept
"New Britain, CT",New Britain Public Library,Aug 26 - 31
"New Fairfield, CT",New Fairfield Free Public Library,Sept
"New Haven, CT",Edgerton Park Conservancy,Sept 15
"New Milford, CT",FRIENDS of New Milford Public Library,Aug 2 - 3
"Newington, CT",Friends of Lucy Robbins Welles Library,Oct 25 - 27
"Newtown, CT",Friends of the C.H. Booth Library,July 12 - 16
"Newtown, CT",Friends of C. H. Booth Library,Bookstore
"Niantic, CT",East Lyme Public Library,Ongoing
"No. Grosvenordale, CT",Thompson Library/Community Center,Sept
"Norfolk, CT",Norfolk Library,Aug 24 - 26
"North Canaan, CT",Douglas Library,Ongoing
"North Haven, CT",North Haven Memorial Library,Bookstore
"North Stonington, CT",Wheeler Library,Bookstore
"Norwalk, CT",Norwalk Public Library,Ongoing
"Norwich, CT",Friends of Otis Library,Oct
"Oakvile, CT",The Book Nook - Watertown Library,Bookstore
"Old Lyme, CT",Old Lyme-Phoebe Griffin Noyes Library,June 22 - 26
"Old Saybrook, CT",Acton Public Library,June 27 - 29
"Old Saybrook, CT",Curt Wendler Books,June 22 - 23
"Orange, CT",Case Memorial Library,Oct
"Oxford, CT",Oxford Public Library,Ongoing
"Plainville, CT",Plainville Public Library,Sept
"Preston, CT",Preston Public Library,Ongoing
"Prospect, CT",Prospect Public Library,Aug
"Putnam, CT",Putnam Public Library,Ongoing
"Redding, CT",The Mark Twain Library,Aug 30 - Sept 2
"Ridgefield, CT",Ridgefield Library,July 13; Aug 10; Sept 14; Nov 9; Dec 14
"Ridgefield, CT",Ridgefield Library,Oct 11 - 14
"Rocky Hill, CT",Cora J. Belden Library,Oct
"Roxbury, CT",Hodge Memorial Library,June 22; July 20; July 27; Aug 17; Aug 24; Sept 21; Sept 28; Oct 19; Oct 26; Nov 16; Nov 23; Dec 7
"Salem, CT",Friends of Salem Free Public Library,Oct 25 - 26
"Salisbury, CT",Noble Horizons Auxiliary,Sept
"Scotland, CT",Scotland Public Library,Nov
"Shelton, CT",Huntington Branch Library,Ongoing
"Simsbury, CT",Friends of Simsbury Public Library,Sept 7 - 8
"Somers, CT",Somers Public Library,Oct
"South Windham, CT",Guilford Smith Memorial Library,Nov 23
"South Windsor, CT",South Windsor Public Library,Ongoing
"Southbury, CT",Heritage Village Library,Aug 29 - Sept 1
"Southington, CT",at Southington Public Library,Bookstore
"Stafford Springs, CT",Stafford Public Library,Ongoing
"Stamford (Bennett Branch), CT",Harry Bennett Library Auditorium,Bookstore
"Stamford (Ferguson), CT",Friends of Ferguson Library Book Shop,Bookstore
"Stratford, CT",Stratford Library,Ongoing
"Suffield, CT",Friends of Kent Memorial Library,Sept 6 - 8
"Terryville, CT",Terryville Public Library,Sept 7
"Thomaston, CT",Thomaston Public Library,Sept 8
