City,Library,SaleDetails
"Adel, IA",Adel Public Library,Aug 8 - 15
"Ames, IA",Ames Public Library,July 1 - 3
"Bettendorf, IA",Bettendorf Public Library,Oct
"Burlington, IA",Burlington Public Library,Sept
"Cedar Falls, IA",Cedar Falls Public Library,Bookstore
"Clinton, IA",Clinton Public Library,Bookstore
"Coralville, IA",Friends of Coralville Public Library,Aug 2 - 3; Nov 1 - 2
"Council Bluffs, IA",Council Bluffs Public Library,Sept
"Des Moines, IA",Des Moines Central Library,Ongoing
"Evansdale, IA",Evansdale Public Library,Ongoing
"Fort Dodge, IA",Fort Dodge Public Library,Bookstore
"Fort Madison, IA",Fort Madison Public Library,July 18 - 20; Nov 7 - 9
"Garden Grove, IA",Garden Grove Public Library,Ongoing
"Grinnell, IA",Drake Community Library,Oct
"Hiawatha, IA",Hiawatha Public Library,Ongoing
"Iowa City, IA",Iowa City Public Library,Oct 19; Dec 7
"Jefferson, IA",Jefferson Public Library,Sept 1 - 7
"Knoxville, IA",Knoxville Public Library,Aug
"Le Mars, IA",Friends of the Le Mars Public Library,July 11 - 13
"LeClaire, IA",LeClaire Community Library,Ongoing
"Malvern, IA",Malvern Public Library,Ongoing
"Marion, IA",Marion Public Library,Oct
"Marshalltown, IA",Marshalltown Public Library,Sept
"Milford, IA",Milford Memorial Library,July 19 - 21
"Nevada, IA",Nevada Public Library,July 5 - 6; Aug 2 - 3; Sept 6 - 7; Oct 4 - 5; Nov 1 - 2; Dec 6 - 7
"Oskaloosa, IA",at Penn Central Mall,Oct
"Perry, IA",Perry Public Library,Oct
"Red Oak, IA",Red Oak Public Library,Ongoing
"Solon, IA",Solon Public Library,Ongoing
"Spencer, IA",at Clay County Regional Events Center,Nov
"Tipton, IA",Tipton Public Library,Ongoing
"Waterloo, IA",Waterloo Public Library,Sept
"Waukee, IA",Waukee Public Library,Ongoing
"West Des Moines, IA",West Des Moines Public Library,Bookstore
"Winterset, IA",Winterset Public Library,Sept 6 - 7
"Elmhurst, IL",No Name Found,July 11 - 14
"Glen Ellyn, IL",AAUW Wheaton-Glen Ellyn Branch Used Book Sale,June 20 - 22
"Mount Prospect, IL",Friends of Mount Prospect Public Library,July 20 - 21
"Palatine, IL",Palatine Public Library,June 21 - 23
"Lexington, KY",Lexington Central Library,Oct
"Detroit, MI",Festival of Books!,July 21
"Bloomington, MN",29th Book'Em Sale!,June 14 - 29
"St. Paul, MN",The Minnesota Antiquarian Book Fair,July 12 - 13
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
