City,Library,SaleDetails
"Addison, IL",SCARCE-LY USED Books &amp; Records,June 1 - 30
"Algonquin, IL",Harnish Main Library,Ongoing
"Alsip, IL",Alsip-Merrionette Park Library,Ongoing
"Alton, IL",Friends of Hayner Library,Ongoing
"Anna, IL",Stinson Memorial Library,Oct
"Antioch, IL",Antioch Library Friends,Sept 27 - 29
"Aurora, IL",Eola Road Branch Library,Ongoing
"Batavia, IL",Batavia Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Belvidere, IL",Ida Public Library,Sept
"Berwyn, IL",Berwyn Public Library,Ongoing
"Bethany, IL",Marrowbone Public Library,Ongoing
"Bloomingdale, IL",Bloomingdale Public Library,Ongoing
"Blue Island, IL",Blue Island Public Library,Ongoing
"Bourbonnais, IL",Bourbonnais Public Library,July
"Brighton, IL",Brighton Memorial Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Brookfield, IL",Brookfield Public Library,Ongoing
"Calumet City, IL",Calumet City Public Library,Ongoing
"Carbondale, IL",Carbondale Public Library,Oct
"Carbondale, IL",Morris Library,Bookstore
"Cary, IL",Cary Area Public Library,Oct 11 - 13
"Champaign, IL",Champaign Public Library,Bookstore
"Charleston, IL",Booth Library,Sept
"Charleston, IL",Charleston Carnegie Public Library,Aug 23 - 24; Nov 15 - 16
"Chatham, IL",Chatham Area Public Library,Bookstore
"Cherry Valley, IL",Cherry Valley Public Library,Oct
"Chicago, IL",No Name Found,July
"Chicago (Hamlin Park), IL",Hamlin Park Branch Library,Ongoing
"Chicago (Hyde Park), IL",No Name Found,Oct 12 - 14
"Chicago (South Shore), IL",South Shore Branch Library,Ongoing
"Chicago (West Addison), IL",West Addison Branch Library,Ongoing
"Chicago Ridge, IL",Chicago Ridge Public Library,Ongoing
"Clarendon Hills, IL",Clarendon Hills Public Library,Ongoing
"Colfax, IL",Martin Township Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Danvers, IL",Danvers Township Library,Ongoing
"De Kalb, IL",Founders Memorial Library,Ongoing
"Decatur, IL",Friends of Decatur Public Library,Sept 1 - 2
"Decatur, IL",Decatur Public Library,Bookstore
"Deerfield, IL",Deerfield Public Library,Sept
"Deerfield, IL",Deerfield Public Library,Ongoing
"DeKalb, IL",DeKalb Public Library,Oct
"DeKalb, IL",Founders Memorial Library (Lobby),Ongoing
"Des Plaines, IL",Des Plaines Public Library,Oct
"Dixon, IL",Dixon Public Library,June 22
"Edwardsville, IL",Leclaire Parkfest,Oct 20
"Effingham, IL",Effingham Public Library,Nov 30
"Elburn, IL",Town and Country Public Library,Ongoing
"Elgin, IL",Gail Borden Library,Sept
"Elgin, IL",Northwest Bible Baptist Church,Nov 22 - 23
"Elmhurst, IL",No Name Found,July 11 - 14
"Elmwood Park, IL",Elmwood Park Library,Ongoing
"Eureka, IL",Melick Library at Eureka College,Ongoing
