City,Library,SaleDetails
"Andover, KS",Andover Library,Oct
"Arkansas City, KS",Arkansas City Public Library,Bookstore
"Baxter Springs, KS",Johnston Public Library,Ongoing
"Belleville, KS",Belleville Public Library,Sept
"Colby, KS",Pioneer Memorial Library,July
"Derby, KS",Derby Public Library,July 20 - 21
"Dodge City, KS",Dodge City Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Emporia, KS",Emporia Public Library,Oct
"Garden City, KS",Finney County Public Library,June
"Hays, KS",Hays Public Library,Bookstore
"Hesston, KS",Hesston Public Library,Ongoing
"Hutchinson, KS",Hutchinson Public Library,Bookstore
"Independence, KS",Independence Public Library,Bookstore
"Iola, KS",Iola Public Library,Oct 11 - 13
"Junction City, KS",Dorothy Bramlage Public Library,Nov 1 - 2
"Lawrence, KS",Lawrence Public Library,July 12 - 14; Oct 11 - 13
"Leavenworth, KS",Leavenworth Public Library,Ongoing
"Lenexa, KS",Friends of Johnson County Library,Ongoing
"Liberal, KS",Liberal Memorial Library,Oct
"Lindsborg, KS",Lindsborg Library,Bookstore
"Manhattan, KS",Manhattan Public Library,Bookstore
"Manhattan, KS",Hale Library,Ongoing
"Newton, KS",Newton Public Library,Oct
"Olathe, KS",Indian Creek Library,Aug 16 - 18; Nov 15 - 17
"Ottawa, KS",Ottawa Library,Ongoing
"Parsons, KS",Parsons Public Library,Ongoing
"Salina, KS",Salina Public Library,June 27
"Topeka, KS",Topeka &amp; Shawnee County Public Library,July 20 - 21; Oct 19 - 20
"Toronto, KS",Toronto Public Library,Ongoing
"Wamego, KS",Wamego Public Library,Ongoing
"Whitewater, KS",Whitewater Memorial Library,Oct 5
"Wichita, KS",Wichita Public Library,Bookstore
"Lexington, KY",Lexington Central Library,Oct
"Detroit, MI",Festival of Books!,July 21
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
