City,Library,SaleDetails
"Abington, MA",Abington Public Library,Ongoing
"Acton, MA",Acton Memorial Library,Oct 19 - 20
"Adams, MA",Adams Free Library,Ongoing
"Agawam, MA",Agawam Public Library,Ongoing
"Amesbury, MA",Amesbury Public Library,Ongoing
"Amherst, MA",No Name Found,July 24 - Aug 4; July 26 - Aug 4
"Andover, MA",Memorial Hall Library,"Sept 25 - 29; Jan 29 - Feb 2,  2025"
"Arlington, MA",Robbins Library,Ongoing
"Ashland, MA",Ashland Public Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2
"Athol, MA",Athol Public Library,Ongoing
"Attleboro, MA",Attleboro Public Library,Nov
"Attleboro, MA",Murray Unitarian Universalist Church,Nov
"Barnstable, MA",Sturgis Library,Bookstore
"Bedford, MA",Bedford Library,Ongoing
"Belchertown, MA",Friends of Clapp Memorial Library,Oct 14 - 19
"Bellingham, MA",Bellingham Public Library,Ongoing
"Beverly, MA",Beverly Public Library,Oct
"Billerica, MA",Billerica Public Library,Sept 14 - 15
"Blackstone, MA",Blackstone Public Library,Oct
"Bolton, MA",Friends of Bolton Public Library,Nov
"Boston, MA",Boston Public Library,Aug 3; Oct 5; Dec 7
"Boston, MA",Boomerangs Thrift Stores,Ongoing
"Boston, MA",French Cultural Center,Nov
"Boston, MA","West End Branch, Boston Public Library",Ongoing
"Boston (North End), MA",North End Branch Library,Ongoing
"Bourne, MA",Jonathan Bourne Public Library,Ongoing
"Boxborough, MA",Sargent Memorial Library,Nov
"Braintree, MA",Thayer Public Library,Ongoing
"Brewster, MA",Brewster Ladies Library,June 25 - July 13
"Brockton, MA",Brockton Library Foundation,Oct
"Brockton, MA","Brockton Public Library, Main Branch",Ongoing
"Brookline, MA",Main Library of Brookline,Ongoing
"Buckland, MA",Buckland Public Library,July 20
"Burlington, MA",Burlington Public Library,Nov 1 - 3
"Burlington, MA",Used Book Superstore,June 17 - 23
"Cambridge, MA",Bryn Mawr Bookstore,Bookstore
"Cambridge, MA",No Name Found,Nov
"Carver, MA",Carver Library,Ongoing
"Charlton, MA",Charlton Public Library,Ongoing
"Chatham, MA",Eldredge Public Library,Ongoing
"Chelmsford, MA",Chelmsford Friends of the Library,Sept
"Chicopee, MA",Chicopee Library,Ongoing
"Cohasset, MA",Paul Pratt Memorial Library,Ongoing
"Concord, MA",Concord Free Public Library,Ongoing
"Conway, MA",Field Memorial Library,Oct 5 - 6
"Dedham, MA",Dedham Public Library,Sept 7; Dec 14
"Dighton, MA",Dighton Public Library,June
"Dorchester, MA",Lower Mills Branch Library,Ongoing
"Dracut, MA",M G Parker Memorial Library,Bookstore
"Dudley, MA",Pearle L. Crawford Memorial Library,Ongoing
"Eastham, MA",Eastham Public Library,June 22 - 23
"Easthampton, MA",Easthampton Public Library,Oct
"Everett, MA",Parlin Library,Ongoing
"Fairhaven, MA",Millicent Library,Ongoing
"Fairhaven, MA","Fairhaven, MA",June
"Fall River, MA",Fall River Public Library,Bookstore
"Falmouth, MA",Falmouth Public Library,July 4 - 8
"Foxborough, MA",Boyden Library,Nov
"Framingham, MA",Framingham Public Library,Sept 21; Oct 19; Nov 16; Dec 21
"Framingham, MA",Christa McAuliffe Branch Library,Ongoing
"Franklin, MA",Franklin Public Library,July 19 - 20; Aug 16 - 17; Sept 20 - 21; Oct 18 - 20; Nov 15 - 17; Dec 20 - 22
"Gardner, MA",Levi Heywood Library,Sept 27 - 28
"Gilbertville, MA",Gilbertville Public Library,Ongoing
"Granville, MA",Granville Library,Oct 6 - 8
"Greenfield, MA","CD, DVD &amp; Book Bin Sale",July 5 - 7
"Hamilton, MA",Hamilton-Wenham Public Library,Sept
"Hanover, MA",John Curtis Free Library,Ongoing
"Hanson, MA",Hanson Public Library,Ongoing
"Harwich, MA",Brooks Free Library,Bookstore
"Hingham, MA",Hingham Public Library,Bookstore
"Hinsdale, MA",Hinsdale Public Library,Ongoing
"Holbrook, MA",Holbrook Public Library,Ongoing
"Holden, MA",Gale Free Library,Bookstore
"Holyoke, MA",Holyoke Public Library,Ongoing
"Hopedale, MA",Bancroft Memorial Library,Ongoing
"Hopkinton, MA",Hopkinton Public Library,Nov
"Hubbardston, MA",Hubbardston Public Library,June
"Hyannis, MA",Hyannis Public Library,Bookstore
"Hyannis, MA",The Friendly Thrift Shop,Ongoing
"Hyde Park, MA",Hyde Park Branch Library,Ongoing
"Ipswich, MA",Friends of Ipswich Public Library,Ongoing
"Kingston, MA",Kingston Public Library,Ongoing
"Lancaster, MA",Friends of Thayer Memorial Library,Oct 4 - 13
