City,Library,SaleDetails
"Annapolis, MD",Books for International Goodwill,June 28 - 29; Aug 16 - 17; Sept 27 - 28; Nov 1 - 2; Dec 6 - 7
"Aspen Hill, MD",Aspen Hill Community Library,Oct
"Baltimore, MD",Greater Baltmore Medical Center,Oct
"Bel Air, MD",Bel Air Branch Library,July 13
"Bel Air, MD",Harford Community College Library,Oct
"Beltsville, MD",Beltsville Branch Library,Bookstore
"Berlin, MD",Ocean Pines Library,July 26 - 29
"Bethesda, MD",Bethesda Regional Library,Ongoing
"Bethesda, MD",Davis Community Library,Ongoing
"Bowie, MD",Bowie Branch Library,Bookstore
"Bowie, MD",Bowie Lions Club,June 21 - 22
"Burkittsville, MD",No Name Found,Oct 5; Oct 12; Oct 19; Oct 26
"Cambridge, MD",Dorchester County Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Centreville, MD",Centreville Branch Library,Aug
"Chestertown, MD",Kent County Public Library,Oct
"Chevy Chase, MD",Chevy Chase Community Library,Ongoing
"Damascus, MD",Damascus Community Library,Ongoing
"Frederick, MD",No Name Found,Sept
"Frederick, MD",Urbana Regional Library,Sept
"Gaithersburg, MD",Quince Orchard Library,Ongoing
"Germantown, MD",Germantown Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Glen Burnie, MD",No Name Found,Oct 5
"Greenbelt, MD",Greenbelt Branch Library,Bookstore
"Greenbelt, MD",No Name Found,Aug 30 - Sept 2
"Hyattsville, MD",Hyattsville Branch Library,Bookstore
"Kensington, MD",Kensington Park Community Library,Ongoing
"Kensington, MD",at Prevention For Blindness Antique Shop,Ongoing
"La Plata, MD",Charles Cty Public Library (La Plata Branch),Bookstore
"Middletown, MD",Friends of the Middletown Library,Sept 28
"Mount Airy, MD",Mount Airy Library,Ongoing
"New Carrollton, MD",New Carrollton Branch Library,Bookstore
"Olney, MD",Olney Community Library,Ongoing
"Oxford, MD",Oxford Library,Sept 28; Dec
"Oxon Hill, MD",Oxon Hill Branch Library,Bookstore
"Poolesville, MD",Poolesville Library,Ongoing
"Prince Frederick, MD",Calvert Library,Bookstore
"Rockville, MD",Twinbrook Community Library,Ongoing
"Rockville, MD",Friends of the Library Bookstore,Bookstore
"Rockville, MD",Wagging Tails Thrifts &amp; Gifts,Bookstore
"Rockville, MD",Knights of Columbus 9774,June 22
"Severna Park, MD",held at: Park Plaza Shopping Center,Nov
"Silver Spring, MD",Long Branch Library,Ongoing
"Silver Spring, MD",Silver Spring Community Library,Ongoing
"Silver Spring, MD",White Oak Community Library,Ongoing
"Stevensville, MD",Kent Island Branch Library,Aug
"Takoma Park, MD",Friends of Takoma Park Library,Oct
"Westminster, MD",Carroll Hospital Center Aux. Thrift Shop,Ongoing
"Wheaton, MD",Wheaton Library,Bookstore
"Wheaton, MD",Wheaton Regional Library,Bookstore
"Williamsport, MD",Williamsport Memorial Library,Aug 23 - 25
"Detroit, MI",Festival of Books!,July 21
"Bernardsville, NJ",No Name Found,Aug 1 - 3
"Ewing Township, NJ",Friends of the Ewing Library,Sept
"Livingston, NJ",Livingston Public Library,Oct
"Montclair, NJ",College Women's Club of Montclair,Nov 14 - 17
"Mullica Hill, NJ",Friends of the Gloucester County Library System,Sept
"Ocean (Monmouth County), NJ",Ocean Township Library,July 17 - 18
"Princeton, NJ",Friends and Foundation of Princeton Public Library,Sept 20 - 22
"Bethlehem, PA",Bethlehem Area Public Library,July 17 - 20
"Exton, PA",Chester County Library,Oct
"Harrisburg, PA",East Shore Area Library,Oct
"Harrisburg, PA",Midtown Scholar Bookstore,Oct
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Lancaster, PA",Bookworm Frolic!,Sept 12 - 21
"Lebanon, PA",Garman's Book Sale,Aug 9 - 10
"Levittown, PA",Levittown Library,Oct
"Mechanicsburg, PA",Friends of the Joseph T. Simpson Public Library Book Sale,Aug 9 - 11
"Media, PA",Media-Upper Providence Free Library,Oct 19 - 21
"Mount Joy, PA",Friends of Milanof-Schock Library,June 20 - 22
"New Milford, PA",Harford Fair!,Aug 12 - 17
"Wayne, PA",Friends of the Radnor Library,Oct
"Abingdon, VA",Washington County Public Library,July 26 - Aug 4
"Annandale, VA",George Mason Friends at George Mason Regional Library,Sept 25 - 29
"Arlington, VA",Arlington Central Library,Oct 3 - 6
"Charlottesville, VA",Friends of the Jefferson-Madison Regional Library,Oct
"Reston, VA",Friends of the Reston Regional Library,Sept
