City,Library,SaleDetails
"Albert Lea, MN",Albert Lea Public Library,Oct
"Annandale, MN",Annandale Area Friends of the Library,June 29
"Bayport, MN",Bayport Public Library,Sept
"Bemidji, MN",Bemidji Public Library book sale,June 25 - 27
"Bemidji, MN",Bemidji Public Library,Bookstore
"Bloomington, MN",29th Book'Em Sale!,June 14 - 29
"Brainerd, MN",Brainerd Public Library,Ongoing
"Brooklyn Center, MN","Brooklyn Center, MN",Nov 9 - 10
"Buffalo, MN",Buffalo Public Library,Oct 7 - 12; Nov 29
"Cottage Grove, MN",Park Grove Branch Library,Ongoing
"Crosby, MN",Hallett Memorial Library,Bookstore
"Crosslake, MN",Crosslake Area Library,July 5 - 6; Aug 2 - 3; Sept 6 - 7; Oct 4 - 5
"Eagan, MN",Wescott Branch Library,Oct
"Edina, MN",Edina Library,Oct
"Elysian, MN",Elysian Area Library and Heritage Center,July 3 - 6
"Excelsior, MN",Excelsior Library,Sept 21 - 23
"Forest Lake, MN",Hardwood Creek Library,Ongoing
"Golden Valley, MN",Golden Valley Library,Oct 26 - 27
"Grand Rapids, MN",Grand Rapids Area Library,Aug
"Hastings, MN",Pleasant Hill Library,Oct 25 - 27
"Howard Lake, MN",Howard Lake Library,June 22
"Hutchinson, MN",Hutchinson Public Library,Sept
"International Falls, MN",International Falls Public Library,July 8; Aug 7; Aug 23
"Isanti, MN",Friends of Isanti Area Library,Oct
"Jackson, MN",Friends of the Jackson County Library,Sept
"Kimball, MN",Kimball Public Library,July 5 - 6
"Lakeland, MN",Valley Branch Library,Ongoing
"Litchfield, MN",Litchfield Public Library,July 13
"Little Falls, MN",Little Falls Carnegie Library,Sept 5 - 9
"Mahtomedi, MN",Wildwood Branch Library,Ongoing
"Mankato, MN",Blue Earth County Library,Bookstore
"Maplewood, MN",Maplewood Library,Bookstore
"Maplewood, MN",Shoreview Library Friends Used Bookstore,Bookstore
"Marshall, MN",Marshall-Lyon County Library,Ongoing
"Minneapolis, MN",Northeast Library,Dec
"Minneapolis, MN",Nokomis Library,Aug 10; Dec 14
"Monticello, MN",Monticello Public Library,Oct
"Oakdale, MN",Oakdale Branch Library,Ongoing
"Pequot Lakes, MN",Pequot Lakes Community Library,June 29 - July 17
"Plymouth, MN",Plymouth Library,Sept 14; Nov 16
"Red Wing, MN",Red Wing Public Library,Nov
"Rochester, MN",Rochester Public Library,June 21 - 23; Oct 11 - 13; Dec 6 - 7
"Rosemount, MN",Robert Trail Library,Ongoing
"Roseville, MN",Roseville Library,Bookstore
"Sandstone, MN",Sandstone Public Library,Aug 9 - 10
"Shoreview, MN",Shoreview Library,Sept
"Silver Bay, MN",Silver Bay Public Library,July
"South Saint Paul, MN",South Saint Paul Public Library,Ongoing
"Spring Valley, MN",Spring Valley Public Library,Ongoing
"St. Cloud, MN",St. Cloud Public Library,Bookstore
"St. Paul, MN",The Minnesota Antiquarian Book Fair,July 12 - 13
"Stillwater, MN",Stillwater Public Library,Nov
"Virginia, MN",Virginia Public Library,Sept
"Waconia, MN",Friends of Waconia Library,July 20
"Wadena, MN",Wadena Library,Ongoing
"West St. Paul, MN",Wentworth Library,Oct
"Woodbury, MN",8595 Central Park Pl,Ongoing
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
