City,Library,SaleDetails
"Byram, MS",Beverly J. Brown Library,Bookstore
"Columbus, MS",Columbus-Lowndes Public Library,June; July; Aug; Sept; Oct; Nov; Dec
"Flora, MS",Flora Public Library,June 28 - 29; Dec 6 - 7
"Gautier, MS",Gautier Public Library,Oct
"Jackson, MS",Eudora Welty Library,Bookstore
"Madison, MS",Madison Public Library,Aug
"Natchez, MS",Judge George W. Armstrong Library,"Jan 2 - Dec 31,  2021 Ongoing"
"Pass Christian, MS",Pass Christian Library,Ongoing
"Raymond, MS",Raymond Public Library,Ongoing
"Southaven, MS",M. R. Davis Public Library,Bookstore
"Vicksburg, MS",Warren County-Vicksburg Public Library,Ongoing
"Waynesboro, MS",Waynesboro Memorial Library,Sept
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Athens, TN",McMinn County Friends of the Library,June 20 - 23
"Knoxville, TN",Friends of Knox County Public Library,Sept 19 - 21
