City,Library,SaleDetails
"Billings, MT",Billings Public Library,Oct
"Billings, MT",Central Christian Church,Sept
"Bitterroot, MT",Bitterroot Public Library,Sept
"Bozeman, MT",Bozeman Public Library,Aug 9 - 11; Nov 2 - 3
"Butte, MT",Butte-Silver Bow Public Library,Ongoing
"Cascade, MT",Wedsworth Memorial Library,Oct
"Eureka, MT",Eureka Public Library,Ongoing
"Great Falls, MT",at Great Falls Public Library,Oct
"Havre, MT",Havre-Hill County Library,Sept
"Libby, MT",Libby Public Library,July 5; Aug 2; Sept 6; Oct 4; Nov 1; Dec 6
"Livingston, MT",Livingston Park County Public Library,Ongoing
"Missoula, MT",Missoula Public Library,Ongoing
"Missoula, MT",Heritage Hall (Northern Rockies Heritage Center),Oct 31 - Nov 3
"Red Lodge, MT",Red Lodge Carnegie Library,Aug 31 - Sept 2
"Troy, MT",Troy Public Library,Ongoing
"West Yellowstone, MT",West Yellowstone Public Library,Ongoing
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
