City,Library,SaleDetails
"Albemarle, NC",Stanly Co Public Library,Oct
"Archdale, NC",Archdale Library,Nov
"Asheboro, NC",Friends of the Library Bookshop,Bookstore
"Asheville, NC",Pack Memorial Library,June 28 - 29
"Beaufort, NC",Carteret County Public Library,Dec
"Brevard, NC",Transylvania County Library,Oct
"Burlington, NC",Friends of Alamance County Public Libraries,Sept
"Chapel Hill, NC",Chapel Hill Public Library,Aug 24 - 25; Dec 7 - 8
"Chapel Hill, NC",Friends of Carrboro Libraries,Oct
"Clayton, NC",Friends of Hocutt Ellington Memorial Library,Sept
"Columbus, NC",Polk County Library,Ongoing
"Dobson, NC",Dobson Community Library,Bookstore
"Durham, NC",American Tobacco Campus Library,Ongoing
"Fayetteville, NC",Friends of the Cumberland County Public Library,Aug 12 - 18
"Fletcher, NC",Books for Good,Nov 29 - 30
"Four Oaks, NC",No Name Found,Sept
"Franklin, NC",Friends of the Library Bookstore Shops at Riverwalk,Bookstore
"Greensboro, NC",Pages Past - Used and Rare Books,Oct
"Hampstead, NC",Hampstead Branch Library,Ongoing
"Hendersonville, NC",Friends of Henderson County Library,Bookstore
"Hendersonville, NC",Shelley and Son Books,June 18 - July 31
"Hickory, NC",Patrick Beaver Library,Aug 30 - 31
"High Point, NC",High Point Public Library,June 21 - 22; Oct 18 - 19
"High Point, NC",No Name Found,Ongoing
"Jacksonville, NC",Onslow County Public Library,Sept 20 - 21
"Jamestown, NC",Jamestown Public Library,Ongoing
"Jonesville, NC",Jonesville Public Library,Bookstore
"Lewisville, NC",Lewisville Branch Library,Sept
"Lexington, NC",Lexington Library Annex,June 29; July 27; Aug 31; Sept 28
"Lillington, NC",Harnett County Library,Ongoing
"Lumberton, NC",Friends of Robeson County Library,Oct
"Madison, NC",Madison Mayodan Library,Sept 10 - 14
"Marshall, NC",Madison County Public Library,Oct 3 - 6
"Mocksville, NC",Davie County Public Library,Sept
"Montreat, NC",Bell Library,Ongoing
"Morganton, NC","White Dove Ministries, Inc.",Bookstore
"Morganton, NC",Burke County Public Library,Sept 20 - 21
"Morganton, NC",Morganton Public Library,Ongoing
"Mount Airy, NC",Friends of Mt. Airy Book Store,Bookstore
"New Bern, NC",New Bern Friends of the Library,Aug
"Newton, NC",Catawba County Library,Ongoing
"North Wilkesboro, NC",Friends of Wilkes County Library,July 11 - 13; Aug 8 - 10; Sept 12 - 14; Oct 10 - 12; Nov 14 - 16; Dec 12 - 14
"Pilot Mountain, NC",Charles H. Stone Memorial Library,Bookstore
"Rocky Mount, NC",Pearsall Library at,July 22 - Aug 2
"Roxboro, NC",Person County Library,Oct
"Salisbury, NC",Rowan Public Library,July 13; Aug 10; Sept 14; Nov 9; Dec 14
"Sanford, NC",Lee County Library,Ongoing
"Sparta, NC",Alleghany County Friends of the Library,Sept 20 - 21
"Swannanoa, NC",Swannanoa Library,Bookstore
"Swansboro, NC",Swansboro Library,July 13; Sept 14; Nov 9
"Sylva, NC",Jackson County Main Library,Bookstore
"Taylorsville, NC",Alexander Friends of the Library,Oct
"Warrenton, NC",Warren County Memorial Library,Ongoing
"Waynesville, NC",Haywood Library,Bookstore
"Weaverville, NC",Weaverville Library,Sept
"West Jefferson, NC",Ashe County Public Library,Ongoing
"Wilmington, NC",Northeast Branch Library,"Aug; Jan 25 - Feb 2,  2025"
"Wilson, NC",Wilson County Public Library,Nov 2 - 3
"Winston-Salem, NC",Reynolda Manor Library,Ongoing
"Winston-Salem, NC",Central Library,Nov
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Athens, TN",McMinn County Friends of the Library,June 20 - 23
"Knoxville, TN",Friends of Knox County Public Library,Sept 19 - 21
"Abingdon, VA",Washington County Public Library,July 26 - Aug 4
"Annandale, VA",George Mason Friends at George Mason Regional Library,Sept 25 - 29
"Arlington, VA",Arlington Central Library,Oct 3 - 6
"Charlottesville, VA",Friends of the Jefferson-Madison Regional Library,Oct
"Reston, VA",Friends of the Reston Regional Library,Sept
