City,Library,SaleDetails
"Beatrice, NE",Beatrice Public Library,Sept; Oct
"Blair, NE",Blair Public Library,Ongoing
"Chadron, NE",Chadron Public Library,July 12 - 13; Aug 9 - 10; Sept 13 - 14; Oct 11 - 12; Nov 8 - 9; Dec 13 - 14
"Columbus, NE",Columbus Public Library,Ongoing
"Fremont, NE",Friends of the Keene Memorial Library,Ongoing
"Fremont, NE",Friends of Keene Memorial Library,Ongoing
"Hastings, NE",Hastings Public Library,Ongoing
"Lexington, NE",Lexington Public Library,Ongoing
"Morrill, NE",Morrill Public Library,Ongoing
"Nebraska City, NE",Morton-James Public Library,Ongoing
"Omaha, NE",Swanson Library,Bookstore
"Omaha, NE",W. Dale Clark (Main) Library,Ongoing
"Omaha, NE",A. V. Sorensen Branch Library,Ongoing
"Omaha, NE",Willa Cather Branch Library,Ongoing
"Omaha, NE",Florence Branch Library,Ongoing
"Omaha, NE",Grewcock Library,Ongoing
"Omaha, NE",Criss Library,Nov
"Papillion, NE",Sump Memorial Library,Bookstore
"Plattsmouth, NE",Plattsmouth Public Library,Aug
"Ralston, NE",Baright Public Library,Ongoing
"Scottsbluff, NE",Friends of Lied Scottsbluff Public Library,Oct
"South Sioux City, NE",South Sioux City Public Library,June 29; July 27; Aug 31; Sept 28; Oct 26
"Wahoo, NE",Wahoo Public Library,Bookstore
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
