City,Library,SaleDetails
"Allendale, NJ",Lee Memorial Library,Ongoing
"Allentown, NJ",Allentown Public Library,Ongoing
"Basking Ridge (Far Hills), NJ",held at: Far Hills Fairgrounds,Oct 4 - 6
"Bayville, NJ",Berkeley Library,June 1 - Aug 31 Ongoing
"Bellmawr, NJ",Goodwill Outlet,Ongoing
"Belmar, NJ",Belmar Free Public Library,"June 1 - Dec 31,  2003 Ongoing"
"Belvidere, NJ",Richard D. Gardner Branch Library,June 22
"Bergenfield, NJ",Bergenfield Public Library,Ongoing
"Bernardsville, NJ",No Name Found,Aug 1 - 3
"Blackwood, NJ",Gloucester Twp Library,Ongoing
"Bordentown, NJ",Bordentown Library,Ongoing
"Bridgeton, NJ",Bridgeton Free Public Library,July
"Bridgewater, NJ",Bridgewater Library,Ongoing
"Bridgewater, NJ",No Name Found,Sept
"Brigantine, NJ",Atlantic County Library,Ongoing
"Cape May, NJ",No Name Found,Aug 26 - 28
"Carteret, NJ",Carteret Public Library,Ongoing
"Cherry Hill, NJ",Cherry Hill Public Library,July 11 - 13; Nov
"Cinnaminson, NJ",Cinnaminson Library,Oct
"Closter, NJ",Closter Public Library,Oct
"Collingswood, NJ",Collingswood Book Festival,Oct
"Cranford, NJ",Friends of Cranford Public Library,July 11 - 13
"Cresskill, NJ",Cresskill Public Library,Ongoing
"Denville, NJ",Friends of Denville Library,June 29 - 30
"Deptford, NJ",Deptford Free Public Library,Ongoing
"East Orange, NJ",East Orange Public Library,Oct 5 - 7
"East Windsor, NJ",Hickory Corner Library,Nov
"Elizabeth, NJ",Elmora Branch Library,Aug 3 - 10
"Elmwood Park, NJ",Elmwood Park Public Library,Ongoing
"Englewood, NJ",Englewood Library,Oct
"Ewing Township, NJ",Friends of the Ewing Library,Sept
"Fanwood, NJ",Friends of Fanwood Memorial Library,Sept 27 - 29
"Flemington, NJ","<img alt=""Act 2 Book Store"" border=""0"" height=""100"" src=""act2shoppic2.jpg"" width=""200""/>",Bookstore
"Fort Lee, NJ",Fort Lee Public Library,Sept
"Franklinville, NJ",Franklin Twp Public Library,Oct
"Freehold, NJ",AAUW Freehold Used Book Sale,June 20 - 22
"Galloway Township, NJ",Atlantic County Library System,Ongoing
"Glassboro, NJ",Glassboro Branch Library,Ongoing
"Gloucester City, NJ",Gloucester City Library,Bookstore
"Haddonfield, NJ",Haddonfield Library,Sept
"Hamilton, NJ",Hamilton Free Public Library,Sept 14 - 16; Nov 16 - 18
"Hammonton, NJ",Atlantic County Library System,Nov
"Hawthorne, NJ",Louis Bay 2nd Public Library,Ongoing
"Hazlet, NJ",Hazlet Township Library,June; Oct
"Hightstown, NJ",Hightstown Memorial Library,Oct
