City,Library,SaleDetails
"Alamogordo, NM",Alamogordo Public Library Book Store,Bookstore
"Albuquerque, NM",Albuquerque Main Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Belen, NM",Belen Public Library,Bookstore
"Capitan, NM",Capitan Public Library,Ongoing
"Carlsbad, NM",Carlsbad Public Library Annex,Aug
"Clovis, NM",Clovis-Carver Public Library,Ongoing
"Corrales, NM",Corrales Community Library,Oct
"Edgewood, NM",Edgewood Community Library,June 22; July 13; July 27; Aug 10; Aug 24; Sept 14; Sept 28; Oct 12; Oct 26; Nov 9; Nov 23; Dec 14; Dec 28
"Española, NM",Española Public Library,Ongoing
"Hobbs, NM",Hobbs Public Library,Bookstore
"Las Cruces, NM",Friends of Branigan Memorial Library,Bookstore
"Los Alamos, NM",Friends of Mesa Public Library Bookstore,Bookstore
"Los Lunas, NM",Los Lunas Community Library,Ongoing
"Portales, NM",Portales Public Library,Nov
"Rio Rancho, NM",Rio Rancho Public Library,Bookstore
"Rio Rancho, NM",Loma Colorado Main Library,Sept 6 - 7; Dec 6 - 7
"Roswell, NM",Friends of Roswell Library,Bookstore
"Ruidoso, NM",Ruidoso Public Library,Bookstore
"Santa Fe, NM",Santa Fe Public Library,July 27; Aug 17
"Santa Fe, NM",Southside Branch Library,Bookstore
"Silver City, NM",Friends Bookstore,Sept 14; Nov 9
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Dallas, TX",Skillman Southwestern Library,Aug 20 - 24
"Dallas, TX",The Lakewood Library Friends,Sept 7 - 14
"Temple, TX",Friends of Temple Public Library,Aug 27 - 31
