City,Library,SaleDetails
"Center Moriches, NY",Center Moriches Free Public Library,July
"Cutchogue, NY",Cutchogue-New Suffolk Library,Aug 2 - 3
"East Hampton, NY",Ladies Village Improvement Society,Bookstore
"East Northport, NY",Elwood Public Library,Oct
"Eastchester, NY",Eastchester Public Library,Ongoing
"Elmsford (Greenburgh), NY",Greenburgh Library,Oct
"Garden City, NY",Garden City Library,Nov
"Greenport, NY",Floyd Memorial Library,Ongoing
"Hampton Bays, NY",Hampton Bays Library Book Store,Bookstore
"Hobart Book Village, NY","Hobart Book Village, NY",Bookstore
"Malverne, NY",Malverne Public Library,Ongoing
"Middle Island, NY",Longwood Public Library,Ongoing
"Montauk, NY",Montauk Library,Ongoing
"New Rochelle, NY",New Rochelle Public Library,Bookstore
"New York (Harlem), NY",Revolution Books,Bookstore
"New York (Manhattan), NY",Housing Works Bookstore Cafe,Bookstore
"NYC (Manhattan), NY",Webster Branch Library,Bookstore
"NYC (Manhattan) St. Agnes, NY",St. Agnes Branch Library,July 20; Aug 14; Sept 7; Sept 25
"NYC (Queens) Flushing, NY",Temple Beth Sholom,Dec 7 - 8
"Patchogue, NY",Patchogue-Medford Library,Ongoing
"Quogue, NY",Quogue Library,Ongoing
"Riverhead, NY",Riverhead Free Library,July; Sept
"Rye, NY",Rye Free Reading Room,Sept 14 - 15
"Scarsdale, NY",Friends of Scarsdale Library,Sept
"Scarsdale, NY",Scarsdale Woman's Club,Oct
"Shelter Island, NY",Shelter Island Public Library,Bookstore
"Southampton, NY",Rogers Memorial Library,Ongoing
"Westhampton Beach, NY",Westhampton Free Library,Ongoing
"Auburn, NY",Auburn Book Bonanza,July 26 - 28
"Beekman, NY",Beekman Library,July 20 - 25
"Cazenovia, NY",Cazenovia Public Library,July 26 - 28
"Corning, NY",Friends of the Southeast Steuben County Library,Oct
"Deansboro, NY",Berry Hill Book Shop,July 5 - 27
"Hudson, NY",Friends of Hudson Area Library,Sept 13 - 15
"Pleasantville, NY",Mt. Pleasant Public Library,Oct
"Spencer, NY",Spencer Library,June 28 - 29
"Spencertown, NY",Spencertown Academy Arts Center,Aug 30 - Sept 2
"Toronto (St. Michael's College), ON",at the John M. Kelly Library (first floor),Sept 25 - 28
"Toronto (Trinity College), ON","Toronto (Trinity College), ON",Oct 23 - 27
"Toronto (University College), ON","Toronto (University College), ON",Sept 26 - 29
"Toronto (Victoria College), ON","Toronto (Victoria College), ON",Sept 19 - 23
"Bethlehem, PA",Bethlehem Area Public Library,July 17 - 20
"Exton, PA",Chester County Library,Oct
"Harrisburg, PA",East Shore Area Library,Oct
"Harrisburg, PA",Midtown Scholar Bookstore,Oct
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Lancaster, PA",Bookworm Frolic!,Sept 12 - 21
"Lebanon, PA",Garman's Book Sale,Aug 9 - 10
"Levittown, PA",Levittown Library,Oct
"Mechanicsburg, PA",Friends of the Joseph T. Simpson Public Library Book Sale,Aug 9 - 11
"Media, PA",Media-Upper Providence Free Library,Oct 19 - 21
"New Milford, PA",Harford Fair!,Aug 12 - 17
"Wayne, PA",Friends of the Radnor Library,Oct
"Bennington, VT","Vermont Book, Postcard &amp; Ephemera Fair",Aug 11
