City,Library,SaleDetails
"Albany, NY",In front of Book House of Stuyvesant Plaza,July 20; Aug
"Albany, NY",Delaware Branch Library,July 2; July 9; July 16; July 23; July 30; Aug 6; Aug 13; Aug 20; Aug 27; Aug 27; Sept 3; Sept 10; Sept 17; Sept 24; Sept 24; Oct 1; Oct 8; Oct 15; Oct 22; Oct 29
"Amherst, NY",Audubon Branch Library,Bookstore
"Amherst, NY",Eggertsville-Snyder Library,June 26 - July 1
"Andes, NY",Andes Public Library,Ongoing
"Arcade, NY",Arcade Free Library,July 13
"Auburn, NY",Auburn Book Bonanza,July 26 - 28
"Aurora, NY",Aurora Free Library,July 26 - 28
"Avon, NY",Avon Free Library,Aug 9 - 10
"Baldwinsville, NY",No Name Found,Sept
"Batavia, NY",Richmond Memorial Library,July 4; Aug 1; Sept 5; Oct 3; Nov 7; Dec 5
"Bath, NY",Dormann Library Book Barn,Bookstore
"Beacon, NY",Beacon Reads,Bookstore
"Bedford Hills, NY",Bedford Hills Free Library,Ongoing
"Beekman, NY",Beekman Library,July 20 - 25
"Belmont, NY",Belmont Free Library,Ongoing
"Berlin, NY",Berlin Free Town Library,Aug
"Binghamton, NY",Broome County Public Library,July 19 - 20; Aug 9 - 10; Sept 20 - 21; Oct 11 - 12; Nov 22 - 23; Dec 20 - 21
"Bolton Landing, NY",Bolton Free Library,July 25 - 28
"Boston, NY",Boston Free Library,Oct
"Brewerton, NY",Brewerton Library,June
"Buffalo, NY",Dudley Library,Ongoing
"Burnt Hills, NY",Ballston Community Library,Oct
"Callicoon, NY",Delaware Free Branch Library,Ongoing
"Canajoharie, NY",Canajoharie Library and Arkell Museum,Sept
"Canandaigua, NY",Wood Library,June; Oct
"Candor, NY",Candor Free Library,Oct 11 - 12
"Canton, NY",Canton Free Library,Ongoing
"Cazenovia, NY",Cazenovia Public Library,July 26 - 28
"Chestertown, NY",Friends of Chester Library,July 12 - 13
"Chittenango, NY",Sullivan Free Library,Bookstore
"Cicero, NY",Cicero Public Library,Sept 20 - 21
"Clarence, NY",Clarence Public Library,Ongoing
"Claverack, NY",Claverack Free Library,Oct 11 - 13
"Clifton Springs, NY",Clifton Springs Library,June 27 - 29
"Clinton, NY",Kirkland Town Library,July 12 - 14; July
"Collins, NY",Collins Public Library,Sept 26 - 28
"Corinth, NY",Corinth Free Library,July 27
"Corning, NY",Friends of the Southeast Steuben County Library,Oct
"Croton-on-Hudson, NY",Croton Free Library,Nov 17 - 18
"Deansboro, NY",Berry Hill Book Shop,July 5 - 27
"Deposit, NY",Deposit Free Library,July 18 - 20
"Dolgeville, NY",Dolgeville-Manheim Public Library,Ongoing
"Earlville, NY",The Earlville Free Library,July
"East Greenbush, NY",East Greenbush Community Library,Oct
"Ellenburg Depot, NY",Ellenburg Sarah A. Munsil Free Library,"Dec 12 - 31,  2009 Ongoing"
"Elmsford (Greenburgh), NY",No Name Found,Oct
"Endicott, NY",George F. Johnson Memorial Library,Ongoing
"Esperance, NY",Landis Arboretum,July 13; Aug 10; Sept 14
