City,Library,SaleDetails
"Akron, OH",Akron-Summit County Public Library,Bookstore
"Akron, OH",Fairlawn-Bath Branch Library,Oct
"Akron (Fairlawn-Bath), OH",Fairlawn-Bath Branch Library,June; July; Aug
"Akron (Firestone Park), OH",Firestone Park Library,Sept
"Akron (Portage Lakes), OH",Portage Lakes Branch Library,Oct
"Alexandria, OH",Alexandria Public Library,Dec 14
"Alliance, OH",Rodman Public Library,Aug 3 - 7
"Amherst, OH",Amherst Public Library,Nov 2
"Anderson Township (Cincinnati), OH",Anderson Branch Library,Nov
"Anderson Township (Cincinnati), OH",Anderson Township Library Association,June 21 - 23
"Arlington, OH",Upper Arlington Public Library,Aug 11 - 25; Nov 3 - 17
"Ashtabula, OH",Ashtabula Library,Oct 4 - 5
"Athens, OH",Alden Library,Nov
"Athens, OH",Athens Public Library,Ongoing
"Aurora, OH",Aurora Memorial Library,July 12 - 13; Aug 16 - 17; Sept 13 - 14; Oct 18 - 19; Nov 22 - 23; Dec 20 - 21
"Bay Village, OH",Bay Village Library,Ongoing
"Beachwood, OH",Beachwood Branch Library,Ongoing
"Bedford, OH",Southeast Branch Library,Ongoing
"Bexley, OH",Bexley Public Library,Nov
"Bluffton, OH",Bluffton Public Library,Ongoing
"Boardman, OH",Westminster Presbyterian Church,Oct
"Bowerston, OH",Bowerston Public Library,Ongoing
"Bowling Green, OH",Jerome Library,Ongoing
"Bowling Green, OH",Wood County District Public Library,Sept 6 - 8
"Brecksville, OH",Brecksville Branch Library,Ongoing
"Brook Park, OH",Brook Park Branch Library,Oct 5
"Brooklyn, OH",Brooklyn Branch Library,Ongoing
"Brunswick, OH",The BookShelf,Bookstore
"Brunswick, OH",Brunswick Library,June 29
"Burton, OH",Geauga Library book sale,Aug 29 - Sept 2
"Camden, OH",Camden Library,Aug
"Canton, OH",Stark County District Library,July 6; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Centerville, OH",Washington-Centerville Public Library,Oct
"Chagrin Falls, OH",Chagrin Falls Branch Library,Aug 1 - 3; Dec 5 - 7
"Chagrin Falls, OH",Bainbridge Library,June 27 - 29
"Chardon, OH",Chardon Library,Oct 5
"Chesterland, OH",Geauga West Library,Aug 3; Nov 14 - 16
"Cincinnati (Hartwell), OH",The Friends of the Public Library of Cincinnati and Hamilton County,Bookstore
"Circleville, OH",Pickaway County District Public Library,July 6; July 20; Aug 3; Aug 17; Sept 7; Sept 21; Oct 5
"Cleveland, OH",Michael Schwartz Library,Bookstore
"Cleveland, OH",Cleveland Public Library,Bookstore
"Cleveland Heights, OH",Lee Road Library,July 5; Aug 2; Sept 6; Oct 4; Nov 1
"Cleveland Heights, OH",Friends of Heights Libraries,Dec 5 - 8
"Columbus, OH",Grandview Heights Public Library,Ongoing
"Columbus, OH",Westland Area Library,Ongoing
"Columbus, OH",Columbus Metropolitan Library,Bookstore
"Coshocton, OH",Coshocton Public Library,Aug 1 - 3
"Dayton, OH","Book Fair Foundation, Inc.",Nov 8 - 11
"Dayton, OH",Second Hand Book Store,Bookstore
"Defiance, OH",Defiance Public Library,June
"Delaware, OH",Delaware Main Library,June 29; July 20
"Dover, OH",Dover Public Library,Aug
"Eaton, OH",Eaton Branch Library,Sept
"Euclid, OH",Euclid Public Library,Sept 7 - 8
"Fairview Park, OH",Fairview Park Regional Library,July 13; Sept 14; Nov 9
"Findlay, OH",Findlay Hancock Library,Oct
"Fostoria, OH",Kaubisch Memorial Public Library,Sept
"Fremont, OH",Birchard Library,Oct
"Gallipolis, OH",Bossard Memorial Library,Oct
"Garfield Heights, OH",Garfield Heights Branch Library,Ongoing
"Garrettsville, OH",Garrettsville Branch Library,Ongoing
"Grafton, OH",Grafton-Midview Public Library,Nov
"Greenville, OH",Friends of Greenville Public Library,Ongoing
"Hubbard, OH",Hubbard Public Library,Ongoing
"Hudson, OH",Hudson Library &amp; Historical Society,Bookstore
"Huron, OH",Huron Public Library,June
"Independence, OH",Independence Library,Ongoing
"Johnstown, OH",Mary E. Babcock Library,Oct
"Kent, OH",Kent Free Library,Oct
"Kingsville, OH",Friends of Kingsville Public Library,Oct 12 - 14
"Kirtland, OH",Kirtland Public Library,Aug 3; Nov 2
