City,Library,SaleDetails
"Broken Arrow, OK",held at The Book Pantry,Aug 2 - 9; Oct 4 - 11; Dec 6 - 13
"Chickasha, OK",Chickasha Public Library,Oct
"Duncan, OK",Duncan Public Library,Ongoing
"Elgin, OK",Elgin Community Library,Sept 20 - 21
"Hennessey, OK",Hennessey Public Library,Ongoing
"McAlester, OK",McAlester Public Library,Sept
"Moore, OK",Moore Public Library,Sept
"Newcastle, OK",Newcastle Library,June
"Norman, OK",Norman Public Library,Oct
"Oklahoma City, OK",No Name Found,Oct 2 - 5
"Ponca City, OK",Ponca City Library,Ongoing
"Shawnee, OK",Shawnee Public Library,Oct
"Stillwater, OK",Stillwater Public Library,Sept 19 - 22
"Tahlequah, OK",Tahlequah Public Library,Bookstore
"Tecumseh, OK",Tecumseh Public Library,Ongoing
"Yukon, OK",Mabel C. Fry Public Library,Nov 2
"Yukon, OK",Friends of Mabel C. Fry Public Library,July 6; July 20; Aug 3; Aug 17; Sept 7; Sept 21; Oct 5; Oct 19; Nov 2; Nov 16; Dec 7; Dec 21
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
"Dallas, TX",Skillman Southwestern Library,Aug 20 - 24
"Dallas, TX",The Lakewood Library Friends,Sept 7 - 14
"Temple, TX",Friends of Temple Public Library,Aug 27 - 31
