City,Library,SaleDetails
"Albany, OR",Downtown Carnegie Library,Ongoing
"Albany, OR",Friends of Albany Public Library Book Store,Nov 1 - 2
"Ashland, OR",Ashland Public Library,Ongoing
"Bandon, OR",Bandon Public Library,July 6
"Beaverton, OR",New Friends of Beaverton City Library,Oct
"Bend, OR",Supporters of Literacy in Deschutes County (SOLID),Ongoing
"Canby, OR",Canby Public Library - Friends used book store,Bookstore
"Cannon Beach, OR",Cannon Beach Library,July 4 - 7
"Columbia City, OR",Columbia City Community Library,June; Sept
"Coos Bay, OR",Coos Bay Public Library,Bookstore
"Cornelius, OR",Cornelius Public Library,Ongoing
"Corvallis, OR",Corvallis Public Library,Sept; Dec 7 - 8
"Eagle Point, OR",Eagle Point Library,Ongoing
"Estacada, OR",Estacada Public Library,Ongoing
"Eugene, OR",Eugene Public Library,July 13; Nov
"Eugene, OR",River Road-Santa Clara Volunteer Library,Aug 24 - 25
"Florence, OR",Siuslaw Public Library,Aug 31 - Sept 1
"Forest Grove, OR",Friends of Forest Grove Library,Oct
"Gladstone, OR",Gladstone Public Library,Aug 2 - 4
"Gladstone, OR",Gladstone Library,Ongoing
"Gold Hill, OR",Gold Hill Library,June; Oct
"Grants Pass, OR",Grants Pass Library,Bookstore
"Halfway, OR",Halfway Branch Library,July 4
"Hammond, OR",Warrenton Community Library,Ongoing
"Hermiston, OR",Hermiston Public Library,Sept
"Hermiston, OR",Good Shepherd Medical Center,Sept
"Hillsboro, OR",Hillsboro Public Library,Oct 25 - Nov 3
"Hillsboro, OR",Hillsboro Public Library,Bookstore
"Independence, OR",Independence Public Library,July 4
"Jacksonville, OR",Jacksonville Friends of the Library,Sept
"Keizer, OR",Keizer Community Library,Oct
"Klamath Falls, OR",Klamath County Library,Ongoing
"Lake Oswego, OR",Booktique,Bookstore
"Lebanon, OR",Friends of the Lebanon Public Library Book Store,July 20; Oct 19; Nov 16
"Lincoln City, OR",Driftwood Public Library,Ongoing
"Lowell, OR",Maggie Osgood Library,July 27 - 28
"McMinnville, OR",McMinnville Public Library,July 13; Sept 14; Nov 9
"Medford, OR",Medford Library,Bookstore
"Milton-Freewater, OR",Milton-Freewater Public Library,Aug 16 - 18
"Milwaukie, OR",Oak Lodge Branch Library,Ongoing
"Milwaukie, OR",Ledding Library,Bookstore
"Monmouth, OR",Monmouth Public Library,Ongoing
"Mount Angel, OR",Mount Angel Abbey Library,Ongoing
"Newberg, OR",Newberg Public Library,Ongoing
"Newport, OR",Newport Public Library,Ongoing
"North Plains, OR",Friends of North Plains Public Library,Aug 9 - 11
"Oregon City, OR",FOOCL Book Store,Bookstore
"Pendleton, OR",Pendleton Friends of the Library,Oct
"Philomath, OR",Philomath Lions Club,July 25 - 27
"Port Orford, OR",Port Orford Public Library,Oct
"Portland, OR",Friends of Multnomah County Library Rose City Reads Bookstore,Bookstore
"Portland, OR",Happy Valley Library,Ongoing
"Prineville, OR",at Crook County Library,July 4
"Rogue River, OR",Rogue River Library,Bookstore
"Roseburg, OR",Douglas County Library,Oct
"Roseburg, OR",Roseburg Public Library,Bookstore
"Ruch, OR",Ruch Library Book Store &amp; Book Barn,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Salem, OR",Friends of Salem Public Library Book Store,Bookstore
"Sandy, OR",Sandy Library,Bookstore
"Scappoose, OR",Scappoose Public Library,July 13; Aug 10; Sept 14; Oct 12; Dec 14
"Shady Cove, OR",Shady Cove Library,Bookstore
"St. Helens, OR",St. Helens Public Library,Oct
"Stayton, OR",Stayton Friends of the Library,Oct
"Stayton, OR",Stayton Friends of the Library Bookstore,Bookstore
"The Dalles, OR",The Dalles - Wasco County Public Library,Aug
"Tigard, OR",Friends of Tigard Public Library,Oct
"Tualatin, OR",Tualatin Library,Nov
"West Linn, OR",West Linn Public Library,Bookstore
"Wilsonville, OR",Wilsonville Friends of the Library Bookstore,Bookstore
"Woodburn, OR",Woodburn Public Library,June 22
"Kennett Square, PA",Unionville HS Gymnasium,"Feb 22 - 23,  2025"
