City,Library,SaleDetails
"Aaronsburg, PA",Friends of the East Penns Valley Library,Oct
"Abington, PA",Abington Library,Sept
"Allentown (Macungie), PA",Lower Macungie Library,Nov
"Ambler, PA",Wissahickon Valley Library Ambler Branch,Sept 20 - 21
"Aston, PA",Aston Public Library,Oct
"Bala Cynwyd, PA",Belmont Hills Library,Ongoing
"Beaver Falls, PA",Chippewa Branch Library,Oct
"Bernville, PA",Bernville Area Library,Ongoing
"Berwick, PA",McBride Memorial Library,Ongoing
"Berwyn, PA",Easttown Library,Oct
"Bethel, PA",Bethel-Tulpehocken Public Library,Ongoing
"Bethlehem, PA",Bethlehem Area Public Library,July 17 - 20
"Birdsboro, PA",Boone Area Library,Bookstore
"Blue Bell, PA",Wissahickon Valley Public Library,Oct
"Blue Ridge Summit, PA",Blue Ridge Summit Library,July 20
"Boyertown, PA",Boyertown Community Library,July 20; Aug 17; Sept 21; Oct 19; Nov 16; Dec 21
"Brodheadsville, PA",Friends of the Library,Bookstore
"Brogue, PA",Friends of Collinsville Library,Ongoing
"Brookville, PA",Rebecca M. Arthurs Memorial Library,June
"Bryn Athyn, PA",Bryn Athyn Thrift Shop,Bookstore
"Bryn Mawr, PA",Ludington Public Library,Ongoing
"Bryn Mawr, PA",No Name Found,Nov
"Camp Hill, PA",Fredricksen Library,Sept
"Canonsburg, PA",Frank Sarris Public Library,Ongoing
"Carlisle, PA",Bosler Library,Bookstore
"Chambersburg, PA",Grove Family Library,Ongoing
"Chester Springs, PA",Henrietta Hankin Branch Library,Ongoing
"Christiana, PA",Moores Memorial Library,Oct
"Clarion, PA",Clarion Free Library,Ongoing
"Clarks Summit, PA",Friends of Abington Community Library,Oct 19
"Columbia, PA",Columbia Public Library,Ongoing
"Coplay, PA",Coplay Public Library,Oct 4 - 5
"Cranberry Twp, PA",Cranberry Public Library,Oct
"Curwensville, PA",Curwensville Library,July
"Dallas, PA",Back Mountain Memorial Library,Bookstore
"Dalton, PA",Dalton Community Library,Oct 19
"Danville, PA",Thomas Beaver Free Library,Sept
"Donora, PA",Donora Public Library,Ongoing
