City,Library,SaleDetails
"Aberdeen, WA",Aberdeen Timberland Library,Ongoing
"Anacortes, WA",Anacortes Public Library,Bookstore
"Auburn, WA",Auburn Library,July 4
"Bainbridge Island, WA",Bainbridge Island Branch Library,June 30; July 11; July 21; Aug 1
"Belfair, WA",North Mason Library,Ongoing
"Bellevue, WA",Bellevue Library,Bookstore
"Bellevue, WA",Newport Way Library,Nov
"Bellingham, WA",Bellingham Public Library,Sept 26 - 28
"Black Diamond, WA",Black Diamond Library,Bookstore
"Bonney Lake, WA",Bonney Lake Library,Ongoing
"Bothell, WA",Bothell Library,Nov
"Buckley, WA",Buckley Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Burien, WA",Burien Library,Ongoing
"Burien, WA",St. Vincent de Paul Burien Thrift Store,Bookstore
"Burlington, WA",Burlington Public Library,Oct
"Camas, WA",Camas Public Library,July; Dec
"Carnation, WA",Carnation Library,Ongoing
"Castle Rock, WA",Castle Rock Library,June 20 - 22; July 18 - 20; Aug 15 - 17; Sept 19 - 21; Oct 17 - 19; Nov 21 - 23; Dec 19 - 21
"Centralia, WA",Centralia Timberland Library,Ongoing
"Chewelah, WA",Chewelah Public Library,Ongoing
"Clallam Bay, WA",Clallam Bay Branch Library,Ongoing
"Clinton, WA",Friends of Clinton Library,Sept 21; Dec 7
"Covington, WA",Covington Library,Ongoing
"Des Moines, WA",Des Moines Library,Ongoing
"Des Moines, WA",Woodmont Library,Ongoing
"Duvall, WA",Duvall Civic Club &amp; Friends of the Library,Ongoing
"East Wenatchee, WA",Friends of East Wenatchee Library,Oct
"Eastsound, WA",Friends of Orcas Island Library,Aug 10
"Eastsound, WA",Orcas Island Library,Aug 10
"Edmonds, WA",Edmonds Library,Bookstore
"Ellensburg, WA",Ellensburg Public Library,Oct 19
"Ellensburg, WA",Brooks Library,Nov
"Elma, WA",Elma Timberland Library,Ongoing
"Everett, WA",Everett Public Library,Ongoing
"Everett, WA",Evergreen Branch Library,Ongoing
"Fall City, WA",Fall City Library,Ongoing
"Federal Way, WA",Federal Way Library,Nov
"Federal Way, WA",Federal Way 320th Library,Ongoing
"Ferndale, WA",Friends of Ferndale Public Library,Ongoing
"Freeland, WA",Freeland Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Friday Harbor, WA",San Juan Island Library,Dec
"Friday Harbor, WA",Friends of San Juan Island Library,Aug
"Granite Falls, WA",Granite Falls Library,Ongoing
"Hansville, WA",Greater Hansville Community Center,Oct 25 - 27
"Hoquiam, WA",Hoquiam Timberland Library,Ongoing
"Ilwaco, WA",Ilwaco Timberland Library,Ongoing
"Issaquah, WA",Issaquah Library,Ongoing
"Kenmore, WA",Kenmore Library,Ongoing
"Kenmore, WA",St. Vincent de Paul Kenmore Thrift Store,Bookstore
"Kent, WA",St. Vincent de Paul Kent Thrift Store,Bookstore
"Kingston, WA",Kitsap Regional Library,Ongoing
"Kingston, WA",Kingston Library,Sept 14
"Kirkland, WA",Kirkland Library,Ongoing
"Lacey, WA",Lacey Timberland Library,Aug 3; Oct 5; Dec 7
"LaConner, WA",LaConner Regional Public Library,Ongoing
"Lake Forest Park, WA",Lake Forest Park Library,Nov
"Lakewood, WA",Friends of Lakewood Library,Oct
"Longview, WA",Longview Library,Ongoing
"Lopez Island, WA",Lopez Island Library,July 4
"Lummi Island, WA",Lummi Island Public Library,Aug 31 - Sept 2
"Lynden, WA",Lynden Public Library,Oct 11 - 13
