City,Library,SaleDetails
"Amery, WI",Amery Public Library,July 4 - 6; Aug 1 - 3; Sept 5 - 7; Oct 3 - 5; Oct 31 - Nov 2; Dec 5 - 7
"Amherst, WI",Lettie W. Jensen Library,Ongoing
"Appleton, WI",Appleton AAUW,Oct
"Arpin, WI",Arpin Public Library,Ongoing
"Baileys Harbor, WI",Baileys Harbor Library,Sept
"Beloit, WI",Beloit Public Library,Ongoing
"Black Earth, WI",Black Earth Public Library,Ongoing
"Boulder Junction, WI",Boulder Junction Library,June 4 - Sept 2
"Brookfield, WI",Friends of Brookfield Library,Sept
"Brown Deer, WI",Brown Deer Public Library,Aug
"Burlington, WI",Burlington Public Library,July 18 - 20
"Cambridge, WI",Friends of the Cambridge Community Library,Aug 2 - 3
"Campbellsport, WI",Campbellsport Public Library,Aug 12 - 22
"Colby, WI",Friends of Colby Community Library,July 18 - 19
"Columbus, WI",Columbus Public Library,Ongoing
"Cross Plains, WI",Rosemary Garfoot Public Library,Sept
"Cudahy, WI",Cudahy Family Library,Bookstore
"Deerfield, WI",Deerfield Public Library,Ongoing
"Delafield, WI",Delafield Public Library,June 22; June 29; July 6; July 13; July 20; July 27; July 27; Aug 3; Aug 10; Aug 17; Aug 24; Aug 31; Sept 7; Sept 21; Oct 5; Oct 19; Nov 2; Nov 16; Dec 7; Dec 21
"Delavan, WI",Aram Public Library,Aug 10
"Eagle River, WI",Olson Memorial Library,July 11 - 13; Oct
"Eau Claire, WI",at Eau Claire Expo Center,Oct
"Elkhart Lake, WI",Friends of Elkhart Lake Public Library,July 26 - 27
"Elkhorn, WI",at Walworth County Fair,Aug 28 - Sept 2
"Fitchburg, WI",Fitchburg Library,June 20 - 22; Oct 17 - 19
"Fond du Lac, WI",Fond du Lac Public Library,Bookstore
"Fort Atkinson, WI",American Association of University Women,Sept
"Fort Atkinson, WI",Dwight Foster Public Library,July 13; Aug 10; Sept 14; Oct 12; Nov 9; Dec 14
"Franklin, WI",Franklin Public Library,Ongoing
"Genoa City, WI",Genoa City Library Friends,Aug 3 - 4
"Germantown, WI",Germantown Community Library,Ongoing
"Gilman, WI",Western Taylor County Public Library,Ongoing
"Green Bay, WI",Brown County Library,Oct
"Hartford, WI",Jack Russell Memorial Library,Nov
"Hayward, WI",Sherman &amp; Ruth Weiss Community Library,Bookstore
"Hudson, WI",Hudson Area Public Library,Bookstore
"Hustisford, WI",Hustisford Community Library,Sept
"Janesville, WI",Hedberg Public Library,Bookstore
"Janesville, WI",No Name Found,Nov
"Kewaunee, WI",Friends of Kewaunee Public Library,Ongoing
"Ladysmith, WI",Rusk County Community Library,Bookstore
"Lake Geneva, WI",Lake Geneva Public Library,Ongoing
"Madison, WI",Sequoya Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Madison, WI",MadisonMemorial Library,Oct 16 - 19
"Madison, WI",No Name Found,Sept 7
"Madison, WI",Friends of Madison Public Library,June 29
"Madison (Ashman), WI",Alicia Ashman Library,Nov
"Madison (Lakeview), WI",Lakeview Branch Library,June; Sept; Dec
"Madison (Main Library), WI","Madison (Main Library), WI",Bookstore
"Madison (Meadowridge), WI",Meadowridge Branch Library,Ongoing
"Madison (Pinney), WI",Pinney Library,Ongoing
"Manitowoc, WI",Manitowoc Public Library,Ongoing
"Marinette, WI",Stephenson Public Library,Ongoing
"Marshfield, WI",Marshfield Public Library,Bookstore
"McFarland, WI",E.D. Locke Public Library,Sept 26 - 28; Dec 5 - 7
"Menomonee Falls, WI",Menomonee Falls Public Library,Ongoing
"Merrill, WI",T.B. Scott Free Library,Oct
"Middleton, WI",Middleton Public Library,Ongoing
"Milwaukee, WI",Milwaukee Public Library,Bookstore
"Milwaukee, WI",All Saints' Hunger Book Sale,Aug 1 - 6
"Milwaukee, WI",Friends of Milwaukee Public Library,Ongoing
"Minocqua, WI",Minocqua Public Library,Ongoing
"Monona, WI",Monona Public Library,Bookstore
"Montello, WI",Montello Public Library,July 5 - 13
"Neenah, WI",Neenah Public Library,Aug 15 - 19
"New Berlin, WI",New Berlin Library,Sept
"New Glarus, WI",New Glarus Public Library,Aug 31 - Sept 1
"New Holstein, WI",New Holstein Public Library,Aug 18
"Oconomowoc, WI",Oconomowoc Public Library,Oct
"Pardeeville, WI",Angie W. Cox Public Libary,Ongoing
"Pewaukee, WI",Pewaukee Public Library,Oct 24 - 26
"Portage, WI",Friends of Portage Public Library,Ongoing
"Prairie Du Sac, WI",Ruth Culver Community Library,Nov
"Racine, WI",No Name Found,Oct 30 - Nov 9; Oct
"Racine, WI",Racine Public Library,Nov
"Random Lake, WI",Lakeview Community Library,Ongoing
"Reedsburg, WI",Reedsburg Public Library,Sept
"Rice Lake, WI",Rice Lake Public Library,Ongoing
"Ripon, WI",Ripon Public Library,Oct
"Sauk City, WI",Sauk City Public Library,Ongoing
"Seymour, WI",Muehl Public Library,Nov 22 - 23
"Sheboygan, WI",Mead Public Library,Bookstore
"Sister Bay, WI",Sister Bay/Liberty Grove Library,Aug 31 - Sept 1
"St. Francis, WI",St. Francis Public Library,Ongoing
"Stevens Point, WI",No Name Found,Aug 14 - 17
"Stevens Point, WI",Portage County Public Library,July 19 - 20
"Sun Prairie, WI",Sun Prairie Public Library,Ongoing
"Three Lakes, WI",Demmer Memorial Library,Ongoing
"Verona, WI",Verona Public Library,Ongoing
"Vesper, WI",Lester Public Library,Ongoing
"Waterloo, WI",Junginger Memorial Library,Sept
"Watertown, WI",Watertown Public Library,Sept
"Waunakee, WI",Waunakee Public Library,Ongoing
"Waupun, WI",Waupun Public Library,July 8; Aug 12; Sept 9; Oct 14; Nov 11; Dec 9
"Wausau, WI",Marathon County Public Library,Aug 1 - 3; Aug 1 - 3; Oct 31 - Nov 2
"Wauwatosa, WI",Wauwatosa Public Library,Ongoing
"West Allis, WI",West Allis Public Library,Aug 3; Oct 12; Dec 14
"Westby, WI",Bekkum Memorial Public Library,Oct
"Whitefish Bay, WI",Whitefish Bay Library,Nov 2 - 3
"Whitewater, WI",Irvin L Young Memorial Library,Ongoing
"Williams Bay, WI",Barrett Memorial Library,Ongoing
"Wisconsin Rapids, WI",Moravian Church,Oct
