City,Library,SaleDetails
"Afton, WY",Star Valley Branch Library,Ongoing
"Cheyenne, WY",Laramie County Library,Bookstore
"Cody, WY",Cody Library,Ongoing
"Gillette, WY",Campbell County Public Library,Sept
"Jackson, WY",Teton County Library,July 18; Aug 15; Sept 19; Oct 17; Nov 21; Dec 19
"Laramie, WY",Albany County Public Library,Ongoing; Ongoing
"Moorcroft, WY",Moorcroft Branch Library,Ongoing
"Powell, WY",Powell Branch Library,July 6; Aug 3; Sept 7; Oct 5; Nov 2; Dec 7
"Riverton, WY",Riverton Branch Library,June 21; July 3; July 19; Aug 7; Aug 16; Sept 4; Sept 20; Oct 2; Oct 18; Nov 6; Nov 15; Dec 4; Dec 20
"Sheridan, WY",Sheridan County Fulmer Public Library,Ongoing
"Sheridan, WY",Sheridan County Fulmer Public Library Friends Bookstore,Ongoing
"Torrington, WY",Goshen County Library,Oct 5 - 19
"Worland, WY",Worland Friends of the Library,Ongoing
